Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;12;0;0;0;0;12;2007
110002 ARIQUEMES;44;0;0;0;0;44;2007
110003 CABIXI;7;0;0;0;0;7;2007
110004 CACOAL;90;0;0;0;0;90;2007
110005 CEREJEIRAS;12;0;0;0;0;12;2007
110006 COLORADO DO OESTE;11;0;0;0;0;11;2007
110007 CORUMBIARA;5;0;0;0;0;5;2007
110008 COSTA MARQUES;10;0;0;0;0;10;2007
110009 ESPIGAO D'OESTE;16;0;0;0;0;16;2007
110010 GUAJARA-MIRIM;34;0;0;0;0;34;2007
110011 JARU;51;0;0;0;0;51;2007
110012 JI-PARANA;98;0;0;0;0;98;2007
110013 MACHADINHO D'OESTE;19;0;0;0;0;19;2007
110014 NOVA BRASILANDIA D'OESTE;9;0;0;0;0;9;2007
110015 OURO PRETO DO OESTE;32;0;0;0;0;32;2007
110018 PIMENTA BUENO;27;0;0;0;0;27;2007
110020 PORTO VELHO;287;0;0;0;0;287;2007
110025 PRESIDENTE MEDICI;20;0;0;0;0;20;2007
110026 RIO CRESPO;4;0;0;0;0;4;2007
110028 ROLIM DE MOURA;37;0;0;0;0;37;2007
110029 SANTA LUZIA D'OESTE;6;0;0;0;0;6;2007
110030 VILHENA;64;0;0;0;0;64;2007
110032 SAO MIGUEL DO GUAPORE;6;0;0;0;0;6;2007
110033 NOVA MAMORE;10;0;0;0;0;10;2007
110034 ALVORADA D'OESTE;7;0;0;0;0;7;2007
110037 ALTO ALEGRE DOS PARECIS;7;0;0;0;0;7;2007
110040 ALTO PARAISO;18;0;0;0;0;18;2007
110045 BURITIS;12;0;0;0;0;12;2007
110050 NOVO HORIZONTE DO OESTE;5;0;0;0;0;5;2007
110060 CACAULANDIA;4;0;0;0;0;4;2007
110070 CAMPO NOVO DE RONDONIA;6;0;0;0;0;6;2007
110080 CANDEIAS DO JAMARI;4;0;0;0;0;4;2007
110090 CASTANHEIRAS;2;0;0;0;0;2;2007
110092 CHUPINGUAIA;5;0;0;0;0;5;2007
110094 CUJUBIM;2;0;0;0;0;2;2007
110100 GOVERNADOR JORGE TEIXEIRA;7;0;0;0;0;7;2007
110110 ITAPUA DO OESTE;3;0;0;0;0;3;2007
110120 MINISTRO ANDREAZZA;13;0;0;0;0;13;2007
110130 MIRANTE DA SERRA;9;0;0;0;0;9;2007
110140 MONTE NEGRO;11;0;0;0;0;11;2007
110143 NOVA UNIAO;2;0;0;0;0;2;2007
110145 PARECIS;2;0;0;0;0;2;2007
110146 PIMENTEIRAS DO OESTE;6;0;0;0;0;6;2007
110147 PRIMAVERA DE RONDONIA;4;0;0;0;0;4;2007
110148 SAO FELIPE D'OESTE;2;0;0;0;0;2;2007
110149 SAO FRANCISCO DO GUAPORE;6;0;0;0;0;6;2007
110150 SERINGUEIRAS;3;0;0;0;0;3;2007
110155 TEIXEIROPOLIS;2;0;0;0;0;2;2007
110160 THEOBROMA;6;0;0;0;0;6;2007
110170 URUPA;13;0;0;0;0;13;2007
110175 VALE DO ANARI;1;0;0;0;0;1;2007
110180 VALE DO PARAISO;11;0;0;0;0;11;2007
120001 ACRELANDIA;11;0;0;0;0;11;2007
120005 ASSIS BRASIL;4;0;0;0;0;4;2007
120010 BRASILEIA;14;0;0;0;0;14;2007
120013 BUJARI;3;0;0;0;0;3;2007
120017 CAPIXABA;5;0;0;0;0;5;2007
120020 CRUZEIRO DO SUL;50;0;0;0;0;50;2007
120025 EPITACIOLANDIA;9;0;0;0;0;9;2007
120030 FEIJO;15;0;0;0;0;15;2007
120032 JORDAO;2;0;0;0;0;2;2007
120033 MANCIO LIMA;14;0;0;0;0;14;2007
120034 MANOEL URBANO;5;0;0;0;0;5;2007
120035 MARECHAL THAUMATURGO;4;0;0;0;0;4;2007
120038 PLACIDO DE CASTRO;10;0;0;0;0;10;2007
120039 PORTO WALTER;5;0;0;0;0;5;2007
120040 RIO BRANCO;297;0;0;0;0;297;2007
120042 RODRIGUES ALVES;2;0;0;0;0;2;2007
120043 SANTA ROSA DO PURUS;1;0;0;0;0;1;2007
120045 SENADOR GUIOMARD;12;0;0;0;0;12;2007
120050 SENA MADUREIRA;12;0;0;0;0;12;2007
