Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;34;0;0;0;0;34;2018
110002 ARIQUEMES;116;0;0;0;0;116;2018
110003 CABIXI;10;0;0;0;0;10;2018
110004 CACOAL;325;0;0;0;0;325;2018
110005 CEREJEIRAS;27;0;0;0;0;27;2018
110006 COLORADO DO OESTE;20;0;0;0;0;20;2018
110007 CORUMBIARA;11;0;0;0;0;11;2018
110008 COSTA MARQUES;7;0;0;0;0;7;2018
110009 ESPIGAO D'OESTE;44;0;0;0;0;44;2018
110010 GUAJARA-MIRIM;42;0;0;0;0;42;2018
110011 JARU;129;0;0;0;0;129;2018
110012 JI-PARANA;392;0;0;0;0;392;2018
110013 MACHADINHO D'OESTE;28;0;0;0;0;28;2018
110014 NOVA BRASILANDIA D'OESTE;22;0;0;0;0;22;2018
110015 OURO PRETO DO OESTE;60;0;0;0;0;60;2018
110018 PIMENTA BUENO;116;0;0;0;0;116;2018
110020 PORTO VELHO;812;0;0;0;0;812;2018
110025 PRESIDENTE MEDICI;28;0;0;0;0;28;2018
110026 RIO CRESPO;5;0;0;0;0;5;2018
110028 ROLIM DE MOURA;119;0;0;0;0;119;2018
110029 SANTA LUZIA D'OESTE;11;0;0;0;0;11;2018
110030 VILHENA;276;0;0;0;0;276;2018
110032 SAO MIGUEL DO GUAPORE;21;0;0;0;0;21;2018
110033 NOVA MAMORE;16;0;0;0;0;16;2018
110034 ALVORADA D'OESTE;21;0;0;0;0;21;2018
110037 ALTO ALEGRE DOS PARECIS;12;0;0;0;0;12;2018
110040 ALTO PARAISO;18;0;0;0;0;18;2018
110045 BURITIS;35;0;0;0;0;35;2018
110050 NOVO HORIZONTE DO OESTE;6;0;0;0;0;6;2018
110060 CACAULANDIA;5;0;0;0;0;5;2018
110070 CAMPO NOVO DE RONDONIA;14;0;0;0;0;14;2018
110080 CANDEIAS DO JAMARI;14;0;0;0;0;14;2018
110090 CASTANHEIRAS;6;0;0;0;0;6;2018
110092 CHUPINGUAIA;17;0;0;0;0;17;2018
110094 CUJUBIM;12;0;0;0;0;12;2018
110100 GOVERNADOR JORGE TEIXEIRA;12;0;0;0;0;12;2018
110110 ITAPUA DO OESTE;8;0;0;0;0;8;2018
110120 MINISTRO ANDREAZZA;10;0;0;0;0;10;2018
110130 MIRANTE DA SERRA;10;0;0;0;0;10;2018
110140 MONTE NEGRO;12;0;0;0;0;12;2018
110143 NOVA UNIAO;6;0;0;0;0;6;2018
110145 PARECIS;5;0;0;0;0;5;2018
110146 PIMENTEIRAS DO OESTE;5;0;0;0;0;5;2018
