Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;43;0;0;0;0;43;2023
110002 ARIQUEMES;192;0;0;0;0;192;2023
110003 CABIXI;16;0;0;0;0;16;2023
110004 CACOAL;490;0;0;0;0;490;2023
110005 CEREJEIRAS;30;0;0;0;0;30;2023
110006 COLORADO DO OESTE;18;0;0;0;0;18;2023
110007 CORUMBIARA;22;0;0;0;0;22;2023
110008 COSTA MARQUES;9;0;0;0;0;9;2023
110009 ESPIGAO D'OESTE;45;0;0;0;0;45;2023
110010 GUAJARA-MIRIM;52;0;0;0;0;52;2023
110011 JARU;174;0;0;0;0;174;2023
110012 JI-PARANA;532;0;0;0;0;532;2023
110013 MACHADINHO D'OESTE;37;0;0;0;0;37;2023
110014 NOVA BRASILANDIA D'OESTE;34;0;0;0;0;34;2023
110015 OURO PRETO DO OESTE;139;0;0;0;0;139;2023
110018 PIMENTA BUENO;137;0;0;0;0;137;2023
110020 PORTO VELHO;1213;0;0;0;0;1213;2023
110025 PRESIDENTE MEDICI;40;0;0;0;0;40;2023
110026 RIO CRESPO;6;0;0;0;0;6;2023
110028 ROLIM DE MOURA;181;0;0;0;0;181;2023
110029 SANTA LUZIA D'OESTE;13;0;0;0;0;13;2023
110030 VILHENA;443;0;0;0;0;443;2023
110032 SAO MIGUEL DO GUAPORE;72;0;0;0;0;72;2023
110033 NOVA MAMORE;22;0;0;0;0;22;2023
110034 ALVORADA D'OESTE;36;0;0;0;0;36;2023
110037 ALTO ALEGRE DOS PARECIS;26;0;0;0;0;26;2023
110040 ALTO PARAISO;21;0;0;0;0;21;2023
110045 BURITIS;45;0;0;0;0;45;2023
110050 NOVO HORIZONTE DO OESTE;7;0;0;0;0;7;2023
110060 CACAULANDIA;9;0;0;0;0;9;2023
110070 CAMPO NOVO DE RONDONIA;15;0;0;0;0;15;2023
110080 CANDEIAS DO JAMARI;21;0;0;0;0;21;2023
110090 CASTANHEIRAS;10;0;0;0;0;10;2023
110092 CHUPINGUAIA;22;0;0;0;0;22;2023
110094 CUJUBIM;13;0;0;0;0;13;2023
110100 GOVERNADOR JORGE TEIXEIRA;10;0;0;0;0;10;2023
110110 ITAPUA DO OESTE;12;0;0;0;0;12;2023
110120 MINISTRO ANDREAZZA;12;0;0;0;0;12;2023
110130 MIRANTE DA SERRA;15;0;0;0;0;15;2023
110140 MONTE NEGRO;24;0;0;0;0;24;2023
110143 NOVA UNIAO;11;0;0;0;0;11;2023
110145 PARECIS;8;0;0;0;0;8;2023
110146 PIMENTEIRAS DO OESTE;6;0;0;0;0;6;2023
110147 PRIMAVERA DE RONDONIA;6;0;0;0;0;6;2023
110148 SAO FELIPE D'OESTE;8;0;0;0;0;8;2023
110149 SAO FRANCISCO DO GUAPORE;30;0;0;0;0;30;2023
110150 SERINGUEIRAS;23;0;0;0;0;23;2023
110155 TEIXEIROPOLIS;6;0;0;0;0;6;2023
110160 THEOBROMA;12;0;0;0;0;12;2023
110170 URUPA;18;0;0;0;0;18;2023
110175 VALE DO ANARI;12;0;0;0;0;12;2023
110180 VALE DO PARAISO;9;0;0;0;0;9;2023
120001 ACRELANDIA;16;0;0;0;0;16;2023
120005 ASSIS BRASIL;11;0;0;0;0;11;2023
120010 BRASILEIA;26;0;0;0;0;26;2023
120013 BUJARI;10;0;0;0;0;10;2023
120017 CAPIXABA;13;0;0;0;0;13;2023
120020 CRUZEIRO DO SUL;136;0;0;0;0;136;2023
120025 EPITACIOLANDIA;16;0;0;0;0;16;2023
120030 FEIJO;20;0;0;0;0;20;2023
120032 JORDAO;10;0;0;0;0;10;2023
120033 MANCIO LIMA;25;0;0;0;0;25;2023
120034 MANOEL URBANO;11;0;0;0;0;11;2023
120035 MARECHAL THAUMATURGO;16;0;0;0;0;16;2023
120038 PLACIDO DE CASTRO;21;0;0;0;0;21;2023
120039 PORTO WALTER;13;0;0;0;0;13;2023
120040 RIO BRANCO;862;0;0;0;0;862;2023
120042 RODRIGUES ALVES;21;0;0;0;0;21;2023
120043 SANTA ROSA DO PURUS;11;0;0;0;0;11;2023
120045 SENADOR GUIOMARD;18;0;0;0;0;18;2023
120050 SENA MADUREIRA;43;0;0;0;0;43;2023
120060 TARAUACA;37;0;0;0;0;37;2023
120070 XAPURI;21;0;0;0;0;21;2023
120080 PORTO ACRE;13;0;0;0;0;13;2023
130002 ALVARAES;14;0;0;0;0;14;2023
130006 AMATURA;12;0;0;0;0;12;2023
130008 ANAMA;16;0;0;0;0;16;2023
130010 ANORI;9;0;0;0;0;9;2023
130014 APUI;15;0;0;0;0;15;2023
130020 ATALAIA DO NORTE;46;0;0;0;0;46;2023
130030 AUTAZES;25;0;0;0;0;25;2023
130040 BARCELOS;33;0;0;0;0;33;2023
130050 BARREIRINHA;24;0;0;0;0;24;2023
130060 BENJAMIN CONSTANT;24;0;0;0;0;24;2023
130063 BERURI;8;0;0;0;0;8;2023
130068 BOA VISTA DO RAMOS;11;0;0;0;0;11;2023
130070 BOCA DO ACRE;20;0;0;0;0;20;2023
130080 BORBA;18;0;0;0;0;18;2023
130083 CAAPIRANGA;9;0;0;0;0;9;2023
130090 CANUTAMA;5;0;0;0;0;5;2023
130100 CARAUARI;18;0;0;0;0;18;2023
130110 CAREIRO;25;0;0;0;0;25;2023
130115 CAREIRO DA VARZEA;20;0;0;0;0;20;2023
130120 COARI;40;0;0;0;0;40;2023
130130 CODAJAS;16;0;0;0;0;16;2023
130140 EIRUNEPE;17;0;0;0;0;17;2023
130150 ENVIRA;8;0;0;0;0;8;2023
130160 FONTE BOA;12;0;0;0;0;12;2023
130165 GUAJARA;13;0;0;0;0;13;2023
130170 HUMAITA;63;0;0;0;0;63;2023
130180 IPIXUNA;16;0;0;0;0;16;2023
130185 IRANDUBA;34;0;0;0;0;34;2023
130190 ITACOATIARA;61;0;0;0;0;61;2023
130195 ITAMARATI;9;0;0;0;0;9;2023
130200 ITAPIRANGA;10;0;0;0;0;10;2023
130210 JAPURA;10;0;0;0;0;10;2023
130220 JURUA;7;0;0;0;0;7;2023
130230 JUTAI;13;0;0;0;0;13;2023
130240 LABREA;41;0;0;0;0;41;2023
130250 MANACAPURU;45;0;0;0;0;45;2023
130255 MANAQUIRI;12;0;0;0;0;12;2023
130260 MANAUS;1681;0;0;0;0;1681;2023
130270 MANICORE;29;0;0;0;0;29;2023
130280 MARAA;12;0;0;0;0;12;2023
130290 MAUES;38;0;0;0;0;38;2023
130300 NHAMUNDA;21;0;0;0;0;21;2023
130310 NOVA OLINDA DO NORTE;27;0;0;0;0;27;2023
130320 NOVO AIRAO;7;0;0;0;0;7;2023
130330 NOVO ARIPUANA;13;0;0;0;0;13;2023
130340 PARINTINS;72;0;0;0;0;72;2023
130350 PAUINI;10;0;0;0;0;10;2023
