Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;15;0;0;0;0;15;2009
110002 ARIQUEMES;70;0;0;0;0;70;2009
110003 CABIXI;7;0;0;0;0;7;2009
110004 CACOAL;100;0;0;0;0;100;2009
110005 CEREJEIRAS;11;0;0;0;0;11;2009
110006 COLORADO DO OESTE;11;0;0;0;0;11;2009
110007 CORUMBIARA;5;0;0;0;0;5;2009
110008 COSTA MARQUES;9;0;0;0;0;9;2009
110009 ESPIGAO D'OESTE;21;0;0;0;0;21;2009
110010 GUAJARA-MIRIM;36;0;0;0;0;36;2009
110011 JARU;68;0;0;0;0;68;2009
110012 JI-PARANA;112;0;0;0;0;112;2009
110013 MACHADINHO D'OESTE;15;0;0;0;0;15;2009
110014 NOVA BRASILANDIA D'OESTE;12;0;0;0;0;12;2009
110015 OURO PRETO DO OESTE;31;0;0;0;0;31;2009
110018 PIMENTA BUENO;32;0;0;0;0;32;2009
110020 PORTO VELHO;349;0;0;0;0;349;2009
110025 PRESIDENTE MEDICI;20;0;0;0;0;20;2009
110026 RIO CRESPO;5;0;0;0;0;5;2009
110028 ROLIM DE MOURA;47;0;0;0;0;47;2009
110029 SANTA LUZIA D'OESTE;7;0;0;0;0;7;2009
110030 VILHENA;105;0;0;0;0;105;2009
110032 SAO MIGUEL DO GUAPORE;6;0;0;0;0;6;2009
110033 NOVA MAMORE;9;0;0;0;0;9;2009
110034 ALVORADA D'OESTE;9;0;0;0;0;9;2009
110037 ALTO ALEGRE DOS PARECIS;7;0;0;0;0;7;2009
110040 ALTO PARAISO;5;0;0;0;0;5;2009
110045 BURITIS;19;0;0;0;0;19;2009
110050 NOVO HORIZONTE DO OESTE;4;0;0;0;0;4;2009
110060 CACAULANDIA;5;0;0;0;0;5;2009
110070 CAMPO NOVO DE RONDONIA;6;0;0;0;0;6;2009
110080 CANDEIAS DO JAMARI;5;0;0;0;0;5;2009
110090 CASTANHEIRAS;2;0;0;0;0;2;2009
110092 CHUPINGUAIA;5;0;0;0;0;5;2009
110094 CUJUBIM;2;0;0;0;0;2;2009
110100 GOVERNADOR JORGE TEIXEIRA;7;0;0;0;0;7;2009
110110 ITAPUA DO OESTE;3;0;0;0;0;3;2009
110120 MINISTRO ANDREAZZA;2;0;0;0;0;2;2009
110130 MIRANTE DA SERRA;10;0;0;0;0;10;2009
110140 MONTE NEGRO;11;0;0;0;0;11;2009
110143 NOVA UNIAO;5;0;0;0;0;5;2009
110145 PARECIS;2;0;0;0;0;2;2009
110146 PIMENTEIRAS DO OESTE;1;0;0;0;0;1;2009
110147 PRIMAVERA DE RONDONIA;4;0;0;0;0;4;2009
110148 SAO FELIPE D'OESTE;3;0;0;0;0;3;2009
110149 SAO FRANCISCO DO GUAPORE;5;0;0;0;0;5;2009
110150 SERINGUEIRAS;3;0;0;0;0;3;2009
110155 TEIXEIROPOLIS;3;0;0;0;0;3;2009
110160 THEOBROMA;6;0;0;0;0;6;2009
110170 URUPA;12;0;0;0;0;12;2009
110175 VALE DO ANARI;4;0;0;0;0;4;2009
110180 VALE DO PARAISO;4;0;0;0;0;4;2009
120001 ACRELANDIA;9;0;0;0;0;9;2009
120005 ASSIS BRASIL;5;0;0;0;0;5;2009
