Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
130260 MANAUS;1291;0;0;0;0;1291;2017
130270 MANICORE;11;0;0;0;0;11;2017
130280 MARAA;12;0;0;0;0;12;2017
130290 MAUES;27;0;0;0;0;27;2017
130300 NHAMUNDA;14;0;0;0;0;14;2017
130310 NOVA OLINDA DO NORTE;21;0;0;0;0;21;2017
130320 NOVO AIRAO;7;0;0;0;0;7;2017
130330 NOVO ARIPUANA;9;0;0;0;0;9;2017
130340 PARINTINS;47;0;0;0;0;47;2017
130350 PAUINI;11;0;0;0;0;11;2017
130353 PRESIDENTE FIGUEIREDO;31;0;0;0;0;31;2017
130356 RIO PRETO DA EVA;18;0;0;0;0;18;2017
130360 SANTA ISABEL DO RIO NEGRO;10;0;0;0;0;10;2017
130370 SANTO ANTONIO DO ICA;16;0;0;0;0;16;2017
130380 SAO GABRIEL DA CACHOEIRA;37;0;0;0;0;37;2017
130390 SAO PAULO DE OLIVENCA;20;0;0;0;0;20;2017
130395 SAO SEBASTIAO DO UATUMA;7;0;0;0;0;7;2017
130400 SILVES;11;0;0;0;0;11;2017
130406 TABATINGA;26;0;0;0;0;26;2017
130410 TAPAUA;13;0;0;0;0;13;2017
130420 TEFE;45;0;0;0;0;45;2017
130423 TONANTINS;12;0;0;0;0;12;2017
130426 UARINI;5;0;0;0;0;5;2017
130430 URUCARA;9;0;0;0;0;9;2017
130440 URUCURITUBA;8;0;0;0;0;8;2017
140002 AMAJARI;33;0;0;0;0;33;2017
140005 ALTO ALEGRE;40;0;0;0;0;40;2017
140010 BOA VISTA;328;0;0;0;0;328;2017
140015 BONFIM;30;0;0;0;0;30;2017
140017 CANTA;24;0;0;0;0;24;2017
140020 CARACARAI;20;0;0;0;0;20;2017
140023 CAROEBE;7;0;0;0;0;7;2017
140028 IRACEMA;13;0;0;0;0;13;2017
140030 MUCAJAI;22;0;0;0;0;22;2017
140040 NORMANDIA;96;0;0;0;0;96;2017
140045 PACARAIMA;61;0;0;0;0;61;2017
140047 RORAINOPOLIS;32;0;0;0;0;32;2017
140050 SAO JOAO DA BALIZA;11;0;0;0;0;11;2017
140060 SAO LUIZ;13;0;0;0;0;13;2017
140070 UIRAMUTA;83;0;0;0;0;83;2017
150010 ABAETETUBA;101;0;0;0;0;101;2017
150013 ABEL FIGUEIREDO;7;0;0;0;0;7;2017
150020 ACARA;27;0;0;0;0;27;2017
150030 AFUA;18;0;0;0;0;18;2017
150034 AGUA AZUL DO NORTE;19;0;0;0;0;19;2017
150040 ALENQUER;16;0;0;0;0;16;2017
150050 ALMEIRIM;20;0;0;0;0;20;2017
150060 ALTAMIRA;130;0;0;0;0;130;2017
150070 ANAJAS;9;0;0;0;0;9;2017
150080 ANANINDEUA;203;0;0;0;0;203;2017
150085 ANAPU;27;0;0;0;0;27;2017
150090 AUGUSTO CORREA;32;0;0;0;0;32;2017
150095 AURORA DO PARA;13;0;0;0;0;13;2017
150100 AVEIRO;10;0;0;0;0;10;2017
150110 BAGRE;9;0;0;0;0;9;2017
150120 BAIAO;26;0;0;0;0;26;2017
150125 BANNACH;12;0;0;0;0;12;2017
150130 BARCARENA;96;0;0;0;0;96;2017
150140 BELEM;1999;0;0;0;0;1999;2017
150145 BELTERRA;15;0;0;0;0;15;2017
150150 BENEVIDES;30;0;0;0;0;30;2017
150157 BOM JESUS DO TOCANTINS;12;0;0;0;0;12;2017
150160 BONITO;14;0;0;0;0;14;2017
150170 BRAGANCA;71;0;0;0;0;71;2017
150172 BRASIL NOVO;22;0;0;0;0;22;2017
150175 BREJO GRANDE DO ARAGUAIA;11;0;0;0;0;11;2017
150178 BREU BRANCO;28;0;0;0;0;28;2017
150180 BREVES;49;0;0;0;0;49;2017
150190 BUJARU;18;0;0;0;0;18;2017
150195 CACHOEIRA DO PIRIA;19;0;0;0;0;19;2017
150200 CACHOEIRA DO ARARI;17;0;0;0;0;17;2017
150210 CAMETA;48;0;0;0;0;48;2017
150215 CANAA DOS CARAJAS;82;0;0;0;0;82;2017
150220 CAPANEMA;73;0;0;0;0;73;2017
150230 CAPITAO POCO;33;0;0;0;0;33;2017
150240 CASTANHAL;183;0;0;0;0;183;2017
150250 CHAVES;24;0;0;0;0;24;2017
150260 COLARES;13;0;0;0;0;13;2017
150270 CONCEICAO DO ARAGUAIA;60;0;0;0;0;60;2017
150275 CONCORDIA DO PARA;15;0;0;0;0;15;2017
150276 CUMARU DO NORTE;16;0;0;0;0;16;2017
150277 CURIONOPOLIS;14;0;0;0;0;14;2017
150280 CURRALINHO;13;0;0;0;0;13;2017
150285 CURUA;11;0;0;0;0;11;2017
150290 CURUCA;24;0;0;0;0;24;2017
150293 DOM ELISEU;33;0;0;0;0;33;2017
150295 ELDORADO DOS CARAJAS;17;0;0;0;0;17;2017
150300 FARO;8;0;0;0;0;8;2017
150304 FLORESTA DO ARAGUAIA;18;0;0;0;0;18;2017
150307 GARRAFAO DO NORTE;17;0;0;0;0;17;2017
150309 GOIANESIA DO PARA;27;0;0;0;0;27;2017
150310 GURUPA;25;0;0;0;0;25;2017
150320 IGARAPE-ACU;23;0;0;0;0;23;2017
150330 IGARAPE-MIRI;26;0;0;0;0;26;2017
150340 INHANGAPI;14;0;0;0;0;14;2017
150345 IPIXUNA DO PARA;26;0;0;0;0;26;2017
150350 IRITUIA;20;0;0;0;0;20;2017
150360 ITAITUBA;57;0;0;0;0;57;2017
150370 ITUPIRANGA;19;0;0;0;0;19;2017
150375 JACAREACANGA;30;0;0;0;0;30;2017
150380 JACUNDA;25;0;0;0;0;25;2017
150390 JURUTI;29;0;0;0;0;29;2017
150400 LIMOEIRO DO AJURU;22;0;0;0;0;22;2017
150405 MAE DO RIO;21;0;0;0;0;21;2017
150410 MAGALHAES BARATA;18;0;0;0;0;18;2017
150420 MARABA;230;0;0;0;0;230;2017
150430 MARACANA;25;0;0;0;0;25;2017
150440 MARAPANIM;23;0;0;0;0;23;2017
150442 MARITUBA;40;0;0;0;0;40;2017
150445 MEDICILANDIA;20;0;0;0;0;20;2017
150450 MELGACO;16;0;0;0;0;16;2017
150460 MOCAJUBA;18;0;0;0;0;18;2017
150470 MOJU;20;0;0;0;0;20;2017
150475 MOJUI DOS CAMPOS;13;0;0;0;0;13;2017
150480 MONTE ALEGRE;43;0;0;0;0;43;2017
150490 MUANA;14;0;0;0;0;14;2017
150495 NOVA ESPERANCA DO PIRIA;14;0;0;0;0;14;2017
150497 NOVA IPIXUNA;9;0;0;0;0;9;2017
150500 NOVA TIMBOTEUA;15;0;0;0;0;15;2017
150503 NOVO PROGRESSO;27;0;0;0;0;27;2017
150506 NOVO REPARTIMENTO;46;0;0;0;0;46;2017
150510 OBIDOS;36;0;0;0;0;36;2017
150520 OEIRAS DO PARA;21;0;0;0;0;21;2017
150530 ORIXIMINA;43;0;0;0;0;43;2017
150540 OUREM;19;0;0;0;0;19;2017
150543 OURILANDIA DO NORTE;42;0;0;0;0;42;2017
150548 PACAJA;23;0;0;0;0;23;2017
150549 PALESTINA DO PARA;10;0;0;0;0;10;2017
150550 PARAGOMINAS;104;0;0;0;0;104;2017
150553 PARAUAPEBAS;232;0;0;0;0;232;2017
150555 PAU D'ARCO;14;0;0;0;0;14;2017
150560 PEIXE-BOI;8;0;0;0;0;8;2017
150563 PICARRA;14;0;0;0;0;14;2017
150565 PLACAS;10;0;0;0;0;10;2017
150570 PONTA DE PEDRAS;10;0;0;0;0;10;2017
150580 PORTEL;24;0;0;0;0;24;2017
150590 PORTO DE MOZ;16;0;0;0;0;16;2017
150600 PRAINHA;16;0;0;0;0;16;2017
150610 PRIMAVERA;12;0;0;0;0;12;2017
150611 QUATIPURU;7;0;0;0;0;7;2017
150613 REDENCAO;85;0;0;0;0;85;2017
150616 RIO MARIA;21;0;0;0;0;21;2017
150618 RONDON DO PARA;36;0;0;0;0;36;2017
150619 RUROPOLIS;13;0;0;0;0;13;2017
150620 SALINOPOLIS;31;0;0;0;0;31;2017
150630 SALVATERRA;16;0;0;0;0;16;2017
150635 SANTA BARBARA DO PARA;9;0;0;0;0;9;2017
150640 SANTA CRUZ DO ARARI;7;0;0;0;0;7;2017
150650 SANTA IZABEL DO PARA;50;0;0;0;0;50;2017
150655 SANTA LUZIA DO PARA;20;0;0;0;0;20;2017
150658 SANTA MARIA DAS BARREIRAS;17;0;0;0;0;17;2017
150660 SANTA MARIA DO PARA;18;0;0;0;0;18;2017
150670 SANTANA DO ARAGUAIA;32;0;0;0;0;32;2017
150680 SANTAREM;249;0;0;0;0;249;2017
150690 SANTAREM NOVO;12;0;0;0;0;12;2017
150700 SANTO ANTONIO DO TAUA;19;0;0;0;0;19;2017
150710 SAO CAETANO DE ODIVELAS;18;0;0;0;0;18;2017
150715 SAO DOMINGOS DO ARAGUAIA;19;0;0;0;0;19;2017
150720 SAO DOMINGOS DO CAPIM;19;0;0;0;0;19;2017
150730 SAO FELIX DO XINGU;54;0;0;0;0;54;2017
150740 SAO FRANCISCO DO PARA;13;0;0;0;0;13;2017
150745 SAO GERALDO DO ARAGUAIA;23;0;0;0;0;23;2017
150746 SAO JOAO DA PONTA;8;0;0;0;0;8;2017
150747 SAO JOAO DE PIRABAS;17;0;0;0;0;17;2017
150750 SAO JOAO DO ARAGUAIA;16;0;0;0;0;16;2017
150760 SAO MIGUEL DO GUAMA;36;0;0;0;0;36;2017
150770 SAO SEBASTIAO DA BOA VISTA;20;0;0;0;0;20;2017
150775 SAPUCAIA;8;0;0;0;0;8;2017
150780 SENADOR JOSE PORFIRIO;15;0;0;0;0;15;2017
150790 SOURE;12;0;0;0;0;12;2017
150795 TAILANDIA;28;0;0;0;0;28;2017
150796 TERRA ALTA;8;0;0;0;0;8;2017
150797 TERRA SANTA;10;0;0;0;0;10;2017
150800 TOME-ACU;28;0;0;0;0;28;2017
150803 TRACUATEUA;28;0;0;0;0;28;2017
150805 TRAIRAO;14;0;0;0;0;14;2017
150808 TUCUMA;48;0;0;0;0;48;2017
150810 TUCURUI;93;0;0;0;0;93;2017
150812 ULIANOPOLIS;26;0;0;0;0;26;2017
150815 URUARA;22;0;0;0;0;22;2017
150820 VIGIA;25;0;0;0;0;25;2017
150830 VISEU;29;0;0;0;0;29;2017
150835 VITORIA DO XINGU;19;0;0;0;0;19;2017
150840 XINGUARA;39;0;0;0;0;39;2017
160005 SERRA DO NAVIO;8;0;0;0;0;8;2017
160010 AMAPA;13;0;0;0;0;13;2017
160015 PEDRA BRANCA DO AMAPARI;13;0;0;0;0;13;2017
160020 CALCOENE;9;0;0;0;0;9;2017
160021 CUTIAS;9;0;0;0;0;9;2017
160023 FERREIRA GOMES;11;0;0;0;0;11;2017
160025 ITAUBAL;13;0;0;0;0;13;2017
160027 LARANJAL DO JARI;21;0;0;0;0;21;2017
160030 MACAPA;312;0;0;0;0;312;2017
160040 MAZAGAO;26;0;0;0;0;26;2017
160050 OIAPOQUE;28;0;0;0;0;28;2017
160053 PORTO GRANDE;15;0;0;0;0;15;2017
160055 PRACUUBA;8;0;0;0;0;8;2017
160060 SANTANA;52;0;0;0;0;52;2017
160070 TARTARUGALZINHO;13;0;0;0;0;13;2017
160080 VITORIA DO JARI;11;0;0;0;0;11;2017
170025 ABREULANDIA;3;0;0;0;0;3;2017
170030 AGUIARNOPOLIS;5;0;0;0;0;5;2017
170035 ALIANCA DO TOCANTINS;7;0;0;0;0;7;2017
170040 ALMAS;5;0;0;0;0;5;2017
170070 ALVORADA;11;0;0;0;0;11;2017
170100 ANANAS;7;0;0;0;0;7;2017
170105 ANGICO;4;0;0;0;0;4;2017
170110 APARECIDA DO RIO NEGRO;5;0;0;0;0;5;2017
170130 ARAGOMINAS;6;0;0;0;0;6;2017
170190 ARAGUACEMA;5;0;0;0;0;5;2017
170200 ARAGUACU;11;0;0;0;0;11;2017
170210 ARAGUAINA;228;0;0;0;0;228;2017
170215 ARAGUANA;7;0;0;0;0;7;2017
170220 ARAGUATINS;21;0;0;0;0;21;2017
170230 ARAPOEMA;4;0;0;0;0;4;2017
170240 ARRAIAS;6;0;0;0;0;6;2017
170255 AUGUSTINOPOLIS;17;0;0;0;0;17;2017
170270 AURORA DO TOCANTINS;3;0;0;0;0;3;2017
170290 AXIXA DO TOCANTINS;8;0;0;0;0;8;2017
170300 BABACULANDIA;9;0;0;0;0;9;2017
170305 BANDEIRANTES DO TOCANTINS;3;0;0;0;0;3;2017
170307 BARRA DO OURO;4;0;0;0;0;4;2017
170310 BARROLANDIA;6;0;0;0;0;6;2017
170320 BERNARDO SAYAO;2;0;0;0;0;2;2017
170330 BOM JESUS DO TOCANTINS;4;0;0;0;0;4;2017
170360 BRASILANDIA DO TOCANTINS;4;0;0;0;0;4;2017
170370 BREJINHO DE NAZARE;5;0;0;0;0;5;2017
170380 BURITI DO TOCANTINS;9;0;0;0;0;9;2017
170382 CACHOEIRINHA;3;0;0;0;0;3;2017
170384 CAMPOS LINDOS;3;0;0;0;0;3;2017
170386 CARIRI DO TOCANTINS;5;0;0;0;0;5;2017
170388 CARMOLANDIA;3;0;0;0;0;3;2017
170389 CARRASCO BONITO;6;0;0;0;0;6;2017
170390 CASEARA;4;0;0;0;0;4;2017
170410 CENTENARIO;2;0;0;0;0;2;2017
170460 CHAPADA DE AREIA;4;0;0;0;0;4;2017
170510 CHAPADA DA NATIVIDADE;4;0;0;0;0;4;2017
170550 COLINAS DO TOCANTINS;41;0;0;0;0;41;2017
170555 COMBINADO;3;0;0;0;0;3;2017
170560 CONCEICAO DO TOCANTINS;6;0;0;0;0;6;2017
170600 COUTO MAGALHAES;6;0;0;0;0;6;2017
170610 CRISTALANDIA;6;0;0;0;0;6;2017
170625 CRIXAS DO TOCANTINS;2;0;0;0;0;2;2017
170650 DARCINOPOLIS;5;0;0;0;0;5;2017
170700 DIANOPOLIS;17;0;0;0;0;17;2017
170710 DIVINOPOLIS DO TOCANTINS;8;0;0;0;0;8;2017
170720 DOIS IRMAOS DO TOCANTINS;7;0;0;0;0;7;2017
170730 DUERE;5;0;0;0;0;5;2017
170740 ESPERANTINA;4;0;0;0;0;4;2017
170755 FATIMA;6;0;0;0;0;6;2017
170765 FIGUEIROPOLIS;4;0;0;0;0;4;2017
170770 FILADELFIA;5;0;0;0;0;5;2017
170820 FORMOSO DO ARAGUAIA;15;0;0;0;0;15;2017
170825 FORTALEZA DO TABOCAO;3;0;0;0;0;3;2017
170830 GOIANORTE;5;0;0;0;0;5;2017
170900 GOIATINS;9;0;0;0;0;9;2017
170930 GUARAI;28;0;0;0;0;28;2017
170950 GURUPI;161;0;0;0;0;161;2017
170980 IPUEIRAS;4;0;0;0;0;4;2017
171050 ITACAJA;13;0;0;0;0;13;2017
171070 ITAGUATINS;6;0;0;0;0;6;2017
171090 ITAPIRATINS;5;0;0;0;0;5;2017
171110 ITAPORA DO TOCANTINS;4;0;0;0;0;4;2017
171150 JAU DO TOCANTINS;7;0;0;0;0;7;2017
171180 JUARINA;3;0;0;0;0;3;2017
171190 LAGOA DA CONFUSAO;7;0;0;0;0;7;2017
171195 LAGOA DO TOCANTINS;4;0;0;0;0;4;2017
171200 LAJEADO;5;0;0;0;0;5;2017
171215 LAVANDEIRA;2;0;0;0;0;2;2017
171240 LIZARDA;4;0;0;0;0;4;2017
171245 LUZINOPOLIS;4;0;0;0;0;4;2017
171250 MARIANOPOLIS DO TOCANTINS;5;0;0;0;0;5;2017
171270 MATEIROS;3;0;0;0;0;3;2017
171280 MAURILANDIA DO TOCANTINS;6;0;0;0;0;6;2017
171320 MIRACEMA DO TOCANTINS;23;0;0;0;0;23;2017
171330 MIRANORTE;15;0;0;0;0;15;2017
171360 MONTE DO CARMO;7;0;0;0;0;7;2017
171370 MONTE SANTO DO TOCANTINS;4;0;0;0;0;4;2017
171380 PALMEIRAS DO TOCANTINS;3;0;0;0;0;3;2017
171395 MURICILANDIA;3;0;0;0;0;3;2017
171420 NATIVIDADE;11;0;0;0;0;11;2017
171430 NAZARE;8;0;0;0;0;8;2017
171488 NOVA OLINDA;9;0;0;0;0;9;2017
171500 NOVA ROSALANDIA;3;0;0;0;0;3;2017
171510 NOVO ACORDO;5;0;0;0;0;5;2017
171515 NOVO ALEGRE;5;0;0;0;0;5;2017
171525 NOVO JARDIM;3;0;0;0;0;3;2017
171550 OLIVEIRA DE FATIMA;3;0;0;0;0;3;2017
171570 PALMEIRANTE;3;0;0;0;0;3;2017
171575 PALMEIROPOLIS;9;0;0;0;0;9;2017
171610 PARAISO DO TOCANTINS;54;0;0;0;0;54;2017
171620 PARANA;8;0;0;0;0;8;2017
171630 PAU D'ARCO;3;0;0;0;0;3;2017
171650 PEDRO AFONSO;11;0;0;0;0;11;2017
171660 PEIXE;9;0;0;0;0;9;2017
171665 PEQUIZEIRO;6;0;0;0;0;6;2017
171670 COLMEIA;13;0;0;0;0;13;2017
171700 PINDORAMA DO TOCANTINS;4;0;0;0;0;4;2017
171720 PIRAQUE;5;0;0;0;0;5;2017
171750 PIUM;10;0;0;0;0;10;2017
171780 PONTE ALTA DO BOM JESUS;5;0;0;0;0;5;2017
171790 PONTE ALTA DO TOCANTINS;3;0;0;0;0;3;2017
171800 PORTO ALEGRE DO TOCANTINS;5;0;0;0;0;5;2017
171820 PORTO NACIONAL;78;0;0;0;0;78;2017
171830 PRAIA NORTE;6;0;0;0;0;6;2017
171840 PRESIDENTE KENNEDY;4;0;0;0;0;4;2017
171845 PUGMIL;3;0;0;0;0;3;2017
171850 RECURSOLANDIA;3;0;0;0;0;3;2017
171855 RIACHINHO;4;0;0;0;0;4;2017
171865 RIO DA CONCEICAO;4;0;0;0;0;4;2017
171870 RIO DOS BOIS;2;0;0;0;0;2;2017
171875 RIO SONO;6;0;0;0;0;6;2017
171880 SAMPAIO;3;0;0;0;0;3;2017
171884 SANDOLANDIA;3;0;0;0;0;3;2017
171886 SANTA FE DO ARAGUAIA;7;0;0;0;0;7;2017
171888 SANTA MARIA DO TOCANTINS;3;0;0;0;0;3;2017
171889 SANTA RITA DO TOCANTINS;4;0;0;0;0;4;2017
171890 SANTA ROSA DO TOCANTINS;6;0;0;0;0;6;2017
171900 SANTA TEREZA DO TOCANTINS;3;0;0;0;0;3;2017
172000 SANTA TEREZINHA DO TOCANTINS;5;0;0;0;0;5;2017
172010 SAO BENTO DO TOCANTINS;6;0;0;0;0;6;2017
172015 SAO FELIX DO TOCANTINS;4;0;0;0;0;4;2017
172020 SAO MIGUEL DO TOCANTINS;4;0;0;0;0;4;2017
172025 SAO SALVADOR DO TOCANTINS;5;0;0;0;0;5;2017
172030 SAO SEBASTIAO DO TOCANTINS;4;0;0;0;0;4;2017
172049 SAO VALERIO;4;0;0;0;0;4;2017
172065 SILVANOPOLIS;7;0;0;0;0;7;2017
172080 SITIO NOVO DO TOCANTINS;11;0;0;0;0;11;2017
172085 SUCUPIRA;2;0;0;0;0;2;2017
172090 TAGUATINGA;8;0;0;0;0;8;2017
172093 TAIPAS DO TOCANTINS;1;0;0;0;0;1;2017
172097 TALISMA;4;0;0;0;0;4;2017
172100 PALMAS;510;0;0;0;0;510;2017
172110 TOCANTINIA;12;0;0;0;0;12;2017
172120 TOCANTINOPOLIS;28;0;0;0;0;28;2017
172125 TUPIRAMA;3;0;0;0;0;3;2017
172130 TUPIRATINS;4;0;0;0;0;4;2017
172208 WANDERLANDIA;6;0;0;0;0;6;2017
172210 XAMBIOA;13;0;0;0;0;13;2017
210005 ACAILANDIA;0;97;0;0;0;97;2017
210010 AFONSO CUNHA;0;9;0;0;0;9;2017
210015 AGUA DOCE DO MARANHAO;0;8;0;0;0;8;2017
210020 ALCANTARA;0;18;0;0;0;18;2017
210030 ALDEIAS ALTAS;0;13;0;0;0;13;2017
210040 ALTAMIRA DO MARANHAO;0;10;0;0;0;10;2017
210043 ALTO ALEGRE DO MARANHAO;0;13;0;0;0;13;2017
210047 ALTO ALEGRE DO PINDARE;0;24;0;0;0;24;2017
210050 ALTO PARNAIBA;0;14;0;0;0;14;2017
210055 AMAPA DO MARANHAO;0;3;0;0;0;3;2017
210060 AMARANTE DO MARANHAO;0;45;0;0;0;45;2017
210070 ANAJATUBA;0;18;0;0;0;18;2017
210080 ANAPURUS;0;10;0;0;0;10;2017
210083 APICUM-ACU;0;9;0;0;0;9;2017
210087 ARAGUANA;0;8;0;0;0;8;2017
210090 ARAIOSES;0;23;0;0;0;23;2017
210095 ARAME;0;17;0;0;0;17;2017
210100 ARARI;0;17;0;0;0;17;2017
210110 AXIXA;0;15;0;0;0;15;2017
210120 BACABAL;0;73;0;0;0;73;2017
210125 BACABEIRA;0;15;0;0;0;15;2017
210130 BACURI;0;11;0;0;0;11;2017
210135 BACURITUBA;0;6;0;0;0;6;2017
210140 BALSAS;0;119;0;0;0;119;2017
210150 BARAO DE GRAJAU;0;20;0;0;0;20;2017
210160 BARRA DO CORDA;0;72;0;0;0;72;2017
210170 BARREIRINHAS;0;27;0;0;0;27;2017
210173 BELAGUA;0;5;0;0;0;5;2017
210177 BELA VISTA DO MARANHAO;0;12;0;0;0;12;2017
210180 BENEDITO LEITE;0;5;0;0;0;5;2017
210190 BEQUIMAO;0;15;0;0;0;15;2017
210193 BERNARDO DO MEARIM;0;8;0;0;0;8;2017
210197 BOA VISTA DO GURUPI;0;5;0;0;0;5;2017
210200 BOM JARDIM;0;27;0;0;0;27;2017
