Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;30;0;0;0;0;30;2016
110002 ARIQUEMES;87;0;0;0;0;87;2016
110003 CABIXI;12;0;0;0;0;12;2016
110004 CACOAL;261;0;0;0;0;261;2016
110005 CEREJEIRAS;26;0;0;0;0;26;2016
110006 COLORADO DO OESTE;15;0;0;0;0;15;2016
110007 CORUMBIARA;10;0;0;0;0;10;2016
110008 COSTA MARQUES;7;0;0;0;0;7;2016
110009 ESPIGAO D'OESTE;32;0;0;0;0;32;2016
110010 GUAJARA-MIRIM;34;0;0;0;0;34;2016
110011 JARU;93;0;0;0;0;93;2016
110012 JI-PARANA;329;0;0;0;0;329;2016
110013 MACHADINHO D'OESTE;21;0;0;0;0;21;2016
110014 NOVA BRASILANDIA D'OESTE;16;0;0;0;0;16;2016
110015 OURO PRETO DO OESTE;51;0;0;0;0;51;2016
110018 PIMENTA BUENO;105;0;0;0;0;105;2016
110020 PORTO VELHO;844;0;0;0;0;844;2016
110025 PRESIDENTE MEDICI;23;0;0;0;0;23;2016
110026 RIO CRESPO;5;0;0;0;0;5;2016
110028 ROLIM DE MOURA;110;0;0;0;0;110;2016
110029 SANTA LUZIA D'OESTE;10;0;0;0;0;10;2016
110030 VILHENA;230;0;0;0;0;230;2016
110032 SAO MIGUEL DO GUAPORE;15;0;0;0;0;15;2016
110033 NOVA MAMORE;15;0;0;0;0;15;2016
110034 ALVORADA D'OESTE;19;0;0;0;0;19;2016
110037 ALTO ALEGRE DOS PARECIS;10;0;0;0;0;10;2016
110040 ALTO PARAISO;13;0;0;0;0;13;2016
110045 BURITIS;28;0;0;0;0;28;2016
110050 NOVO HORIZONTE DO OESTE;7;0;0;0;0;7;2016
110060 CACAULANDIA;6;0;0;0;0;6;2016
110070 CAMPO NOVO DE RONDONIA;11;0;0;0;0;11;2016
110080 CANDEIAS DO JAMARI;14;0;0;0;0;14;2016
110090 CASTANHEIRAS;6;0;0;0;0;6;2016
110092 CHUPINGUAIA;15;0;0;0;0;15;2016
110094 CUJUBIM;9;0;0;0;0;9;2016
110100 GOVERNADOR JORGE TEIXEIRA;10;0;0;0;0;10;2016
110110 ITAPUA DO OESTE;7;0;0;0;0;7;2016
110120 MINISTRO ANDREAZZA;6;0;0;0;0;6;2016
110130 MIRANTE DA SERRA;9;0;0;0;0;9;2016
110140 MONTE NEGRO;12;0;0;0;0;12;2016
110143 NOVA UNIAO;7;0;0;0;0;7;2016
110145 PARECIS;6;0;0;0;0;6;2016
110146 PIMENTEIRAS DO OESTE;4;0;0;0;0;4;2016
110147 PRIMAVERA DE RONDONIA;3;0;0;0;0;3;2016
110148 SAO FELIPE D'OESTE;7;0;0;0;0;7;2016
110149 SAO FRANCISCO DO GUAPORE;16;0;0;0;0;16;2016
110150 SERINGUEIRAS;7;0;0;0;0;7;2016
110155 TEIXEIROPOLIS;6;0;0;0;0;6;2016
110160 THEOBROMA;10;0;0;0;0;10;2016
110170 URUPA;8;0;0;0;0;8;2016
110175 VALE DO ANARI;11;0;0;0;0;11;2016
110180 VALE DO PARAISO;7;0;0;0;0;7;2016
120001 ACRELANDIA;12;0;0;0;0;12;2016
120005 ASSIS BRASIL;10;0;0;0;0;10;2016
120010 BRASILEIA;20;0;0;0;0;20;2016
120013 BUJARI;5;0;0;0;0;5;2016
120017 CAPIXABA;8;0;0;0;0;8;2016
120020 CRUZEIRO DO SUL;88;0;0;0;0;88;2016
120025 EPITACIOLANDIA;12;0;0;0;0;12;2016
120030 FEIJO;16;0;0;0;0;16;2016
120032 JORDAO;5;0;0;0;0;5;2016
120033 MANCIO LIMA;15;0;0;0;0;15;2016
120034 MANOEL URBANO;6;0;0;0;0;6;2016
120035 MARECHAL THAUMATURGO;10;0;0;0;0;10;2016
120038 PLACIDO DE CASTRO;15;0;0;0;0;15;2016
120039 PORTO WALTER;8;0;0;0;0;8;2016
120040 RIO BRANCO;485;0;0;0;0;485;2016
120042 RODRIGUES ALVES;10;0;0;0;0;10;2016
120043 SANTA ROSA DO PURUS;7;0;0;0;0;7;2016
120045 SENADOR GUIOMARD;16;0;0;0;0;16;2016
120050 SENA MADUREIRA;29;0;0;0;0;29;2016
120060 TARAUACA;22;0;0;0;0;22;2016
120070 XAPURI;14;0;0;0;0;14;2016
120080 PORTO ACRE;10;0;0;0;0;10;2016
