Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;24;0;0;0;0;24;2015
110002 ARIQUEMES;124;0;0;0;0;124;2015
110003 CABIXI;8;0;0;0;0;8;2015
110004 CACOAL;192;0;0;0;0;192;2015
110005 CEREJEIRAS;27;0;0;0;0;27;2015
110006 COLORADO DO OESTE;14;0;0;0;0;14;2015
110007 CORUMBIARA;10;0;0;0;0;10;2015
110008 COSTA MARQUES;3;0;0;0;0;3;2015
110009 ESPIGAO D'OESTE;30;0;0;0;0;30;2015
110010 GUAJARA-MIRIM;31;0;0;0;0;31;2015
110011 JARU;90;0;0;0;0;90;2015
110012 JI-PARANA;302;0;0;0;0;302;2015
110013 MACHADINHO D'OESTE;22;0;0;0;0;22;2015
110014 NOVA BRASILANDIA D'OESTE;16;0;0;0;0;16;2015
110015 OURO PRETO DO OESTE;46;0;0;0;0;46;2015
110018 PIMENTA BUENO;97;0;0;0;0;97;2015
110020 PORTO VELHO;776;0;0;0;0;776;2015
110025 PRESIDENTE MEDICI;21;0;0;0;0;21;2015
110026 RIO CRESPO;5;0;0;0;0;5;2015
110028 ROLIM DE MOURA;100;0;0;0;0;100;2015
110029 SANTA LUZIA D'OESTE;10;0;0;0;0;10;2015
110030 VILHENA;229;0;0;0;0;229;2015
110032 SAO MIGUEL DO GUAPORE;15;0;0;0;0;15;2015
110033 NOVA MAMORE;14;0;0;0;0;14;2015
110034 ALVORADA D'OESTE;18;0;0;0;0;18;2015
110037 ALTO ALEGRE DOS PARECIS;9;0;0;0;0;9;2015
110040 ALTO PARAISO;12;0;0;0;0;12;2015
110045 BURITIS;28;0;0;0;0;28;2015
110050 NOVO HORIZONTE DO OESTE;6;0;0;0;0;6;2015
110060 CACAULANDIA;6;0;0;0;0;6;2015
110070 CAMPO NOVO DE RONDONIA;8;0;0;0;0;8;2015
110080 CANDEIAS DO JAMARI;13;0;0;0;0;13;2015
110090 CASTANHEIRAS;5;0;0;0;0;5;2015
110092 CHUPINGUAIA;14;0;0;0;0;14;2015
110094 CUJUBIM;10;0;0;0;0;10;2015
110100 GOVERNADOR JORGE TEIXEIRA;9;0;0;0;0;9;2015
110110 ITAPUA DO OESTE;5;0;0;0;0;5;2015
110120 MINISTRO ANDREAZZA;6;0;0;0;0;6;2015
110130 MIRANTE DA SERRA;10;0;0;0;0;10;2015
110140 MONTE NEGRO;13;0;0;0;0;13;2015
110143 NOVA UNIAO;5;0;0;0;0;5;2015
110145 PARECIS;5;0;0;0;0;5;2015
110146 PIMENTEIRAS DO OESTE;5;0;0;0;0;5;2015
110147 PRIMAVERA DE RONDONIA;3;0;0;0;0;3;2015
110148 SAO FELIPE D'OESTE;7;0;0;0;0;7;2015
110149 SAO FRANCISCO DO GUAPORE;14;0;0;0;0;14;2015
110150 SERINGUEIRAS;7;0;0;0;0;7;2015
110155 TEIXEIROPOLIS;6;0;0;0;0;6;2015
110160 THEOBROMA;10;0;0;0;0;10;2015
110170 URUPA;8;0;0;0;0;8;2015
110175 VALE DO ANARI;11;0;0;0;0;11;2015
110180 VALE DO PARAISO;7;0;0;0;0;7;2015
120001 ACRELANDIA;13;0;0;0;0;13;2015
120005 ASSIS BRASIL;9;0;0;0;0;9;2015
120010 BRASILEIA;20;0;0;0;0;20;2015
120013 BUJARI;4;0;0;0;0;4;2015
120017 CAPIXABA;7;0;0;0;0;7;2015
120020 CRUZEIRO DO SUL;87;0;0;0;0;87;2015
120025 EPITACIOLANDIA;12;0;0;0;0;12;2015
120030 FEIJO;16;0;0;0;0;16;2015
120032 JORDAO;5;0;0;0;0;5;2015
120033 MANCIO LIMA;16;0;0;0;0;16;2015
120034 MANOEL URBANO;7;0;0;0;0;7;2015
120035 MARECHAL THAUMATURGO;8;0;0;0;0;8;2015
120038 PLACIDO DE CASTRO;15;0;0;0;0;15;2015
120039 PORTO WALTER;5;0;0;0;0;5;2015
120040 RIO BRANCO;456;0;0;0;0;456;2015
120042 RODRIGUES ALVES;9;0;0;0;0;9;2015
120043 SANTA ROSA DO PURUS;7;0;0;0;0;7;2015
120045 SENADOR GUIOMARD;16;0;0;0;0;16;2015
120050 SENA MADUREIRA;21;0;0;0;0;21;2015
120060 TARAUACA;20;0;0;0;0;20;2015
120070 XAPURI;13;0;0;0;0;13;2015
120080 PORTO ACRE;9;0;0;0;0;9;2015
130002 ALVARAES;7;0;0;0;0;7;2015
130006 AMATURA;8;0;0;0;0;8;2015
130008 ANAMA;8;0;0;0;0;8;2015
130010 ANORI;4;0;0;0;0;4;2015
130014 APUI;10;0;0;0;0;10;2015
130020 ATALAIA DO NORTE;18;0;0;0;0;18;2015
130030 AUTAZES;22;0;0;0;0;22;2015
130040 BARCELOS;17;0;0;0;0;17;2015
130050 BARREIRINHA;15;0;0;0;0;15;2015
130060 BENJAMIN CONSTANT;18;0;0;0;0;18;2015
