Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;19;0;0;0;0;19;2012
110002 ARIQUEMES;102;0;0;0;0;102;2012
110003 CABIXI;7;0;0;0;0;7;2012
110004 CACOAL;149;0;0;0;0;149;2012
110005 CEREJEIRAS;17;0;0;0;0;17;2012
110006 COLORADO DO OESTE;14;0;0;0;0;14;2012
110007 CORUMBIARA;5;0;0;0;0;5;2012
110008 COSTA MARQUES;9;0;0;0;0;9;2012
110009 ESPIGAO D'OESTE;27;0;0;0;0;27;2012
110010 GUAJARA-MIRIM;32;0;0;0;0;32;2012
110011 JARU;82;0;0;0;0;82;2012
110012 JI-PARANA;156;0;0;0;0;156;2012
110013 MACHADINHO D'OESTE;18;0;0;0;0;18;2012
110014 NOVA BRASILANDIA D'OESTE;14;0;0;0;0;14;2012
110015 OURO PRETO DO OESTE;40;0;0;0;0;40;2012
110018 PIMENTA BUENO;36;0;0;0;0;36;2012
110020 PORTO VELHO;556;0;0;0;0;556;2012
110025 PRESIDENTE MEDICI;24;0;0;0;0;24;2012
110026 RIO CRESPO;3;0;0;0;0;3;2012
110028 ROLIM DE MOURA;76;0;0;0;0;76;2012
110029 SANTA LUZIA D'OESTE;8;0;0;0;0;8;2012
110030 VILHENA;159;0;0;0;0;159;2012
110032 SAO MIGUEL DO GUAPORE;14;0;0;0;0;14;2012
110033 NOVA MAMORE;9;0;0;0;0;9;2012
110034 ALVORADA D'OESTE;12;0;0;0;0;12;2012
110037 ALTO ALEGRE DOS PARECIS;8;0;0;0;0;8;2012
110040 ALTO PARAISO;10;0;0;0;0;10;2012
110045 BURITIS;18;0;0;0;0;18;2012
110050 NOVO HORIZONTE DO OESTE;4;0;0;0;0;4;2012
110060 CACAULANDIA;6;0;0;0;0;6;2012
110070 CAMPO NOVO DE RONDONIA;5;0;0;0;0;5;2012
110080 CANDEIAS DO JAMARI;10;0;0;0;0;10;2012
110090 CASTANHEIRAS;2;0;0;0;0;2;2012
110092 CHUPINGUAIA;8;0;0;0;0;8;2012
110094 CUJUBIM;3;0;0;0;0;3;2012
110100 GOVERNADOR JORGE TEIXEIRA;11;0;0;0;0;11;2012
110110 ITAPUA DO OESTE;6;0;0;0;0;6;2012
110120 MINISTRO ANDREAZZA;3;0;0;0;0;3;2012
110130 MIRANTE DA SERRA;11;0;0;0;0;11;2012
110140 MONTE NEGRO;11;0;0;0;0;11;2012
110143 NOVA UNIAO;5;0;0;0;0;5;2012
110145 PARECIS;4;0;0;0;0;4;2012
110146 PIMENTEIRAS DO OESTE;3;0;0;0;0;3;2012
110147 PRIMAVERA DE RONDONIA;3;0;0;0;0;3;2012
110148 SAO FELIPE D'OESTE;5;0;0;0;0;5;2012
110149 SAO FRANCISCO DO GUAPORE;8;0;0;0;0;8;2012
110150 SERINGUEIRAS;5;0;0;0;0;5;2012
110155 TEIXEIROPOLIS;4;0;0;0;0;4;2012
110160 THEOBROMA;10;0;0;0;0;10;2012
110170 URUPA;16;0;0;0;0;16;2012
110175 VALE DO ANARI;5;0;0;0;0;5;2012
110180 VALE DO PARAISO;6;0;0;0;0;6;2012
120001 ACRELANDIA;11;0;0;0;0;11;2012
120005 ASSIS BRASIL;6;0;0;0;0;6;2012
120010 BRASILEIA;17;0;0;0;0;17;2012
120013 BUJARI;4;0;0;0;0;4;2012
120017 CAPIXABA;7;0;0;0;0;7;2012
120020 CRUZEIRO DO SUL;74;0;0;0;0;74;2012
120025 EPITACIOLANDIA;8;0;0;0;0;8;2012
120030 FEIJO;13;0;0;0;0;13;2012
120032 JORDAO;5;0;0;0;0;5;2012
120033 MANCIO LIMA;18;0;0;0;0;18;2012
120034 MANOEL URBANO;5;0;0;0;0;5;2012
120035 MARECHAL THAUMATURGO;7;0;0;0;0;7;2012
120038 PLACIDO DE CASTRO;15;0;0;0;0;15;2012
120039 PORTO WALTER;5;0;0;0;0;5;2012
120040 RIO BRANCO;414;0;0;0;0;414;2012
120042 RODRIGUES ALVES;6;0;0;0;0;6;2012
120043 SANTA ROSA DO PURUS;5;0;0;0;0;5;2012
120045 SENADOR GUIOMARD;14;0;0;0;0;14;2012
120050 SENA MADUREIRA;18;0;0;0;0;18;2012
120060 TARAUACA;17;0;0;0;0;17;2012
120070 XAPURI;10;0;0;0;0;10;2012
120080 PORTO ACRE;8;0;0;0;0;8;2012
130002 ALVARAES;7;0;0;0;0;7;2012
130006 AMATURA;6;0;0;0;0;6;2012
130008 ANAMA;5;0;0;0;0;5;2012
130010 ANORI;4;0;0;0;0;4;2012
130014 APUI;9;0;0;0;0;9;2012
130020 ATALAIA DO NORTE;14;0;0;0;0;14;2012
130030 AUTAZES;18;0;0;0;0;18;2012
130040 BARCELOS;7;0;0;0;0;7;2012
130050 BARREIRINHA;5;0;0;0;0;5;2012
130060 BENJAMIN CONSTANT;11;0;0;0;0;11;2012
130063 BERURI;4;0;0;0;0;4;2012
130068 BOA VISTA DO RAMOS;4;0;0;0;0;4;2012
130070 BOCA DO ACRE;11;0;0;0;0;11;2012
130080 BORBA;18;0;0;0;0;18;2012
130083 CAAPIRANGA;4;0;0;0;0;4;2012
130090 CANUTAMA;4;0;0;0;0;4;2012
130100 CARAUARI;8;0;0;0;0;8;2012
130110 CAREIRO;11;0;0;0;0;11;2012
130115 CAREIRO DA VARZEA;11;0;0;0;0;11;2012
130120 COARI;21;0;0;0;0;21;2012
130130 CODAJAS;8;0;0;0;0;8;2012
130140 EIRUNEPE;7;0;0;0;0;7;2012
130150 ENVIRA;4;0;0;0;0;4;2012
130160 FONTE BOA;5;0;0;0;0;5;2012
130165 GUAJARA;8;0;0;0;0;8;2012
130170 HUMAITA;29;0;0;0;0;29;2012
130180 IPIXUNA;7;0;0;0;0;7;2012
130185 IRANDUBA;17;0;0;0;0;17;2012
130190 ITACOATIARA;30;0;0;0;0;30;2012
130195 ITAMARATI;2;0;0;0;0;2;2012
130200 ITAPIRANGA;6;0;0;0;0;6;2012
130210 JAPURA;6;0;0;0;0;6;2012
130220 JURUA;2;0;0;0;0;2;2012
130230 JUTAI;4;0;0;0;0;4;2012
130240 LABREA;7;0;0;0;0;7;2012
130250 MANACAPURU;31;0;0;0;0;31;2012
130255 MANAQUIRI;4;0;0;0;0;4;2012
130260 MANAUS;1199;0;0;0;0;1199;2012
130270 MANICORE;10;0;0;0;0;10;2012
130280 MARAA;7;0;0;0;0;7;2012
130290 MAUES;23;0;0;0;0;23;2012
130300 NHAMUNDA;13;0;0;0;0;13;2012
130310 NOVA OLINDA DO NORTE;15;0;0;0;0;15;2012
130320 NOVO AIRAO;9;0;0;0;0;9;2012
130330 NOVO ARIPUANA;6;0;0;0;0;6;2012
130340 PARINTINS;39;0;0;0;0;39;2012
130350 PAUINI;9;0;0;0;0;9;2012
130353 PRESIDENTE FIGUEIREDO;27;0;0;0;0;27;2012
130356 RIO PRETO DA EVA;16;0;0;0;0;16;2012
130360 SANTA ISABEL DO RIO NEGRO;8;0;0;0;0;8;2012
130370 SANTO ANTONIO DO ICA;3;0;0;0;0;3;2012
130380 SAO GABRIEL DA CACHOEIRA;26;0;0;0;0;26;2012
130390 SAO PAULO DE OLIVENCA;12;0;0;0;0;12;2012
130395 SAO SEBASTIAO DO UATUMA;6;0;0;0;0;6;2012
130400 SILVES;7;0;0;0;0;7;2012
130406 TABATINGA;15;0;0;0;0;15;2012
130410 TAPAUA;8;0;0;0;0;8;2012
130420 TEFE;39;0;0;0;0;39;2012
130423 TONANTINS;3;0;0;0;0;3;2012
130426 UARINI;4;0;0;0;0;4;2012
130430 URUCARA;7;0;0;0;0;7;2012
130440 URUCURITUBA;9;0;0;0;0;9;2012
140002 AMAJARI;24;0;0;0;0;24;2012
140005 ALTO ALEGRE;30;0;0;0;0;30;2012
140010 BOA VISTA;246;0;0;0;0;246;2012
140015 BONFIM;16;0;0;0;0;16;2012
140017 CANTA;26;0;0;0;0;26;2012
140020 CARACARAI;27;0;0;0;0;27;2012
140023 CAROEBE;7;0;0;0;0;7;2012
140028 IRACEMA;7;0;0;0;0;7;2012
140030 MUCAJAI;13;0;0;0;0;13;2012
140040 NORMANDIA;19;0;0;0;0;19;2012
140045 PACARAIMA;15;0;0;0;0;15;2012
140047 RORAINOPOLIS;16;0;0;0;0;16;2012
140050 SAO JOAO DA BALIZA;4;0;0;0;0;4;2012
140060 SAO LUIZ;4;0;0;0;0;4;2012
140070 UIRAMUTA;20;0;0;0;0;20;2012
150010 ABAETETUBA;84;0;0;0;0;84;2012
150013 ABEL FIGUEIREDO;7;0;0;0;0;7;2012
150020 ACARA;22;0;0;0;0;22;2012
150030 AFUA;14;0;0;0;0;14;2012
150034 AGUA AZUL DO NORTE;16;0;0;0;0;16;2012
150040 ALENQUER;15;0;0;0;0;15;2012
150050 ALMEIRIM;18;0;0;0;0;18;2012
150060 ALTAMIRA;71;0;0;0;0;71;2012
150070 ANAJAS;7;0;0;0;0;7;2012
150080 ANANINDEUA;138;0;0;0;0;138;2012
150085 ANAPU;11;0;0;0;0;11;2012
150090 AUGUSTO CORREA;24;0;0;0;0;24;2012
150095 AURORA DO PARA;12;0;0;0;0;12;2012
150100 AVEIRO;9;0;0;0;0;9;2012
150110 BAGRE;4;0;0;0;0;4;2012
150120 BAIAO;21;0;0;0;0;21;2012
150125 BANNACH;7;0;0;0;0;7;2012
150130 BARCARENA;74;0;0;0;0;74;2012
150140 BELEM;1690;0;0;0;0;1690;2012
150145 BELTERRA;13;0;0;0;0;13;2012
150150 BENEVIDES;21;0;0;0;0;21;2012
150157 BOM JESUS DO TOCANTINS;10;0;0;0;0;10;2012
150160 BONITO;11;0;0;0;0;11;2012
150170 BRAGANCA;45;0;0;0;0;45;2012
150172 BRASIL NOVO;16;0;0;0;0;16;2012
150175 BREJO GRANDE DO ARAGUAIA;10;0;0;0;0;10;2012
150178 BREU BRANCO;21;0;0;0;0;21;2012
150180 BREVES;44;0;0;0;0;44;2012
150190 BUJARU;14;0;0;0;0;14;2012
150195 CACHOEIRA DO PIRIA;11;0;0;0;0;11;2012
150200 CACHOEIRA DO ARARI;13;0;0;0;0;13;2012
150210 CAMETA;39;0;0;0;0;39;2012
150215 CANAA DOS CARAJAS;36;0;0;0;0;36;2012
150220 CAPANEMA;53;0;0;0;0;53;2012
150230 CAPITAO POCO;24;0;0;0;0;24;2012
150240 CASTANHAL;149;0;0;0;0;149;2012
150250 CHAVES;18;0;0;0;0;18;2012
150260 COLARES;13;0;0;0;0;13;2012
150270 CONCEICAO DO ARAGUAIA;49;0;0;0;0;49;2012
150275 CONCORDIA DO PARA;9;0;0;0;0;9;2012
150276 CUMARU DO NORTE;10;0;0;0;0;10;2012
150277 CURIONOPOLIS;10;0;0;0;0;10;2012
150280 CURRALINHO;12;0;0;0;0;12;2012
150285 CURUA;7;0;0;0;0;7;2012
150290 CURUCA;19;0;0;0;0;19;2012
150293 DOM ELISEU;21;0;0;0;0;21;2012
150295 ELDORADO DOS CARAJAS;14;0;0;0;0;14;2012
150300 FARO;6;0;0;0;0;6;2012
150304 FLORESTA DO ARAGUAIA;9;0;0;0;0;9;2012
150307 GARRAFAO DO NORTE;16;0;0;0;0;16;2012
150309 GOIANESIA DO PARA;25;0;0;0;0;25;2012
150310 GURUPA;26;0;0;0;0;26;2012
150320 IGARAPE-ACU;27;0;0;0;0;27;2012
150330 IGARAPE-MIRI;25;0;0;0;0;25;2012
150340 INHANGAPI;14;0;0;0;0;14;2012
150345 IPIXUNA DO PARA;17;0;0;0;0;17;2012
150350 IRITUIA;15;0;0;0;0;15;2012
150360 ITAITUBA;40;0;0;0;0;40;2012
150370 ITUPIRANGA;21;0;0;0;0;21;2012
150375 JACAREACANGA;4;0;0;0;0;4;2012
150380 JACUNDA;24;0;0;0;0;24;2012
150390 JURUTI;20;0;0;0;0;20;2012
150400 LIMOEIRO DO AJURU;21;0;0;0;0;21;2012
150405 MAE DO RIO;19;0;0;0;0;19;2012
150410 MAGALHAES BARATA;10;0;0;0;0;10;2012
150420 MARABA;173;0;0;0;0;173;2012
150430 MARACANA;24;0;0;0;0;24;2012
150440 MARAPANIM;17;0;0;0;0;17;2012
150442 MARITUBA;29;0;0;0;0;29;2012
150445 MEDICILANDIA;18;0;0;0;0;18;2012
150450 MELGACO;11;0;0;0;0;11;2012
150460 MOCAJUBA;20;0;0;0;0;20;2012
150470 MOJU;25;0;0;0;0;25;2012
150480 MONTE ALEGRE;49;0;0;0;0;49;2012
150490 MUANA;13;0;0;0;0;13;2012
