Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;12;0;0;0;0;12;2008
110002 ARIQUEMES;58;0;0;0;0;58;2008
110003 CABIXI;7;0;0;0;0;7;2008
110004 CACOAL;88;0;0;0;0;88;2008
110005 CEREJEIRAS;12;0;0;0;0;12;2008
110006 COLORADO DO OESTE;10;0;0;0;0;10;2008
110007 CORUMBIARA;5;0;0;0;0;5;2008
110008 COSTA MARQUES;9;0;0;0;0;9;2008
110009 ESPIGAO D'OESTE;16;0;0;0;0;16;2008
110010 GUAJARA-MIRIM;33;0;0;0;0;33;2008
110011 JARU;62;0;0;0;0;62;2008
110012 JI-PARANA;106;0;0;0;0;106;2008
110013 MACHADINHO D'OESTE;20;0;0;0;0;20;2008
110014 NOVA BRASILANDIA D'OESTE;10;0;0;0;0;10;2008
110015 OURO PRETO DO OESTE;33;0;0;0;0;33;2008
110018 PIMENTA BUENO;31;0;0;0;0;31;2008
110020 PORTO VELHO;324;0;0;0;0;324;2008
110025 PRESIDENTE MEDICI;20;0;0;0;0;20;2008
110026 RIO CRESPO;4;0;0;0;0;4;2008
110028 ROLIM DE MOURA;44;0;0;0;0;44;2008
110029 SANTA LUZIA D'OESTE;6;0;0;0;0;6;2008
110030 VILHENA;102;0;0;0;0;102;2008
110032 SAO MIGUEL DO GUAPORE;6;0;0;0;0;6;2008
110033 NOVA MAMORE;10;0;0;0;0;10;2008
110034 ALVORADA D'OESTE;7;0;0;0;0;7;2008
110037 ALTO ALEGRE DOS PARECIS;6;0;0;0;0;6;2008
110040 ALTO PARAISO;4;0;0;0;0;4;2008
110045 BURITIS;15;0;0;0;0;15;2008
110050 NOVO HORIZONTE DO OESTE;5;0;0;0;0;5;2008
110060 CACAULANDIA;4;0;0;0;0;4;2008
110070 CAMPO NOVO DE RONDONIA;6;0;0;0;0;6;2008
110080 CANDEIAS DO JAMARI;5;0;0;0;0;5;2008
110090 CASTANHEIRAS;2;0;0;0;0;2;2008
110092 CHUPINGUAIA;5;0;0;0;0;5;2008
110094 CUJUBIM;4;0;0;0;0;4;2008
110100 GOVERNADOR JORGE TEIXEIRA;7;0;0;0;0;7;2008
110110 ITAPUA DO OESTE;3;0;0;0;0;3;2008
110120 MINISTRO ANDREAZZA;13;0;0;0;0;13;2008
110130 MIRANTE DA SERRA;10;0;0;0;0;10;2008
110140 MONTE NEGRO;11;0;0;0;0;11;2008
110143 NOVA UNIAO;3;0;0;0;0;3;2008
110145 PARECIS;2;0;0;0;0;2;2008
110146 PIMENTEIRAS DO OESTE;6;0;0;0;0;6;2008
110147 PRIMAVERA DE RONDONIA;4;0;0;0;0;4;2008
110148 SAO FELIPE D'OESTE;2;0;0;0;0;2;2008
110149 SAO FRANCISCO DO GUAPORE;6;0;0;0;0;6;2008
110150 SERINGUEIRAS;3;0;0;0;0;3;2008
110155 TEIXEIROPOLIS;3;0;0;0;0;3;2008
110160 THEOBROMA;7;0;0;0;0;7;2008
110170 URUPA;13;0;0;0;0;13;2008
110175 VALE DO ANARI;1;0;0;0;0;1;2008
110180 VALE DO PARAISO;3;0;0;0;0;3;2008
120001 ACRELANDIA;12;0;0;0;0;12;2008
120005 ASSIS BRASIL;4;0;0;0;0;4;2008
120010 BRASILEIA;14;0;0;0;0;14;2008
120013 BUJARI;3;0;0;0;0;3;2008
120017 CAPIXABA;5;0;0;0;0;5;2008
120020 CRUZEIRO DO SUL;66;0;0;0;0;66;2008
120025 EPITACIOLANDIA;9;0;0;0;0;9;2008
120030 FEIJO;16;0;0;0;0;16;2008
120032 JORDAO;2;0;0;0;0;2;2008
120033 MANCIO LIMA;14;0;0;0;0;14;2008
120034 MANOEL URBANO;5;0;0;0;0;5;2008
120035 MARECHAL THAUMATURGO;4;0;0;0;0;4;2008
120038 PLACIDO DE CASTRO;11;0;0;0;0;11;2008
120039 PORTO WALTER;5;0;0;0;0;5;2008
120040 RIO BRANCO;319;0;0;0;0;319;2008
120042 RODRIGUES ALVES;2;0;0;0;0;2;2008
120043 SANTA ROSA DO PURUS;2;0;0;0;0;2;2008
120045 SENADOR GUIOMARD;12;0;0;0;0;12;2008
120050 SENA MADUREIRA;13;0;0;0;0;13;2008
120060 TARAUACA;21;0;0;0;0;21;2008
120070 XAPURI;9;0;0;0;0;9;2008
120080 PORTO ACRE;7;0;0;0;0;7;2008
130002 ALVARAES;2;0;0;0;0;2;2008
130006 AMATURA;1;0;0;0;0;1;2008
130008 ANAMA;1;0;0;0;0;1;2008
130010 ANORI;2;0;0;0;0;2;2008
130014 APUI;6;0;0;0;0;6;2008
130020 ATALAIA DO NORTE;2;0;0;0;0;2;2008
130030 AUTAZES;10;0;0;0;0;10;2008
130040 BARCELOS;5;0;0;0;0;5;2008
130050 BARREIRINHA;27;0;0;0;0;27;2008
130060 BENJAMIN CONSTANT;11;0;0;0;0;11;2008
130063 BERURI;2;0;0;0;0;2;2008
130068 BOA VISTA DO RAMOS;2;0;0;0;0;2;2008
130070 BOCA DO ACRE;11;0;0;0;0;11;2008
130080 BORBA;15;0;0;0;0;15;2008
130083 CAAPIRANGA;4;0;0;0;0;4;2008
130090 CANUTAMA;2;0;0;0;0;2;2008
130100 CARAUARI;6;0;0;0;0;6;2008
130110 CAREIRO;18;0;0;0;0;18;2008
130115 CAREIRO DA VARZEA;11;0;0;0;0;11;2008
130120 COARI;15;0;0;0;0;15;2008
130130 CODAJAS;8;0;0;0;0;8;2008
130140 EIRUNEPE;4;0;0;0;0;4;2008
130150 ENVIRA;4;0;0;0;0;4;2008
130160 FONTE BOA;5;0;0;0;0;5;2008
130165 GUAJARA;2;0;0;0;0;2;2008
130170 HUMAITA;9;0;0;0;0;9;2008
130180 IPIXUNA;7;0;0;0;0;7;2008
130185 IRANDUBA;10;0;0;0;0;10;2008
130190 ITACOATIARA;18;0;0;0;0;18;2008
130195 ITAMARATI;1;0;0;0;0;1;2008
130200 ITAPIRANGA;4;0;0;0;0;4;2008
130210 JAPURA;1;0;0;0;0;1;2008
130220 JURUA;2;0;0;0;0;2;2008
130230 JUTAI;3;0;0;0;0;3;2008
130240 LABREA;7;0;0;0;0;7;2008
130250 MANACAPURU;19;0;0;0;0;19;2008
130255 MANAQUIRI;2;0;0;0;0;2;2008
130260 MANAUS;951;0;0;0;0;951;2008
130270 MANICORE;5;0;0;0;0;5;2008
130280 MARAA;6;0;0;0;0;6;2008
130290 MAUES;14;0;0;0;0;14;2008
130300 NHAMUNDA;14;0;0;0;0;14;2008
130310 NOVA OLINDA DO NORTE;12;0;0;0;0;12;2008
130320 NOVO AIRAO;9;0;0;0;0;9;2008
130330 NOVO ARIPUANA;4;0;0;0;0;4;2008
130340 PARINTINS;31;0;0;0;0;31;2008
130350 PAUINI;4;0;0;0;0;4;2008
130353 PRESIDENTE FIGUEIREDO;23;0;0;0;0;23;2008
130356 RIO PRETO DA EVA;17;0;0;0;0;17;2008
130360 SANTA ISABEL DO RIO NEGRO;5;0;0;0;0;5;2008
130370 SANTO ANTONIO DO ICA;2;0;0;0;0;2;2008
130380 SAO GABRIEL DA CACHOEIRA;20;0;0;0;0;20;2008
130390 SAO PAULO DE OLIVENCA;4;0;0;0;0;4;2008
130395 SAO SEBASTIAO DO UATUMA;4;0;0;0;0;4;2008
130400 SILVES;7;0;0;0;0;7;2008
130406 TABATINGA;9;0;0;0;0;9;2008
130410 TAPAUA;7;0;0;0;0;7;2008
130420 TEFE;23;0;0;0;0;23;2008
130423 TONANTINS;3;0;0;0;0;3;2008
130426 UARINI;2;0;0;0;0;2;2008
130430 URUCARA;7;0;0;0;0;7;2008
130440 URUCURITUBA;6;0;0;0;0;6;2008
140002 AMAJARI;15;0;0;0;0;15;2008
140005 ALTO ALEGRE;16;0;0;0;0;16;2008
140010 BOA VISTA;215;0;0;0;0;215;2008
140015 BONFIM;12;0;0;0;0;12;2008
140017 CANTA;22;0;0;0;0;22;2008
140020 CARACARAI;24;0;0;0;0;24;2008
140023 CAROEBE;5;0;0;0;0;5;2008
140028 IRACEMA;3;0;0;0;0;3;2008
140030 MUCAJAI;8;0;0;0;0;8;2008
140040 NORMANDIA;17;0;0;0;0;17;2008
140045 PACARAIMA;13;0;0;0;0;13;2008
140047 RORAINOPOLIS;6;0;0;0;0;6;2008
140050 SAO JOAO DA BALIZA;4;0;0;0;0;4;2008
140060 SAO LUIZ;6;0;0;0;0;6;2008
140070 UIRAMUTA;11;0;0;0;0;11;2008
150010 ABAETETUBA;69;0;0;0;0;69;2008
150013 ABEL FIGUEIREDO;5;0;0;0;0;5;2008
150020 ACARA;20;0;0;0;0;20;2008
150030 AFUA;12;0;0;0;0;12;2008
150034 AGUA AZUL DO NORTE;12;0;0;0;0;12;2008
150040 ALENQUER;7;0;0;0;0;7;2008
150050 ALMEIRIM;19;0;0;0;0;19;2008
150060 ALTAMIRA;58;0;0;0;0;58;2008
150070 ANAJAS;5;0;0;0;0;5;2008
150080 ANANINDEUA;94;0;0;0;0;94;2008
150085 ANAPU;6;0;0;0;0;6;2008
150090 AUGUSTO CORREA;18;0;0;0;0;18;2008
150095 AURORA DO PARA;6;0;0;0;0;6;2008
150100 AVEIRO;3;0;0;0;0;3;2008
150110 BAGRE;3;0;0;0;0;3;2008
150120 BAIAO;16;0;0;0;0;16;2008
150125 BANNACH;7;0;0;0;0;7;2008
150130 BARCARENA;45;0;0;0;0;45;2008
150140 BELEM;1083;0;0;0;0;1083;2008
150145 BELTERRA;7;0;0;0;0;7;2008
150150 BENEVIDES;19;0;0;0;0;19;2008
150157 BOM JESUS DO TOCANTINS;8;0;0;0;0;8;2008
150160 BONITO;4;0;0;0;0;4;2008
150170 BRAGANCA;34;0;0;0;0;34;2008
150172 BRASIL NOVO;11;0;0;0;0;11;2008
150175 BREJO GRANDE DO ARAGUAIA;9;0;0;0;0;9;2008
150178 BREU BRANCO;14;0;0;0;0;14;2008
150180 BREVES;25;0;0;0;0;25;2008
150190 BUJARU;8;0;0;0;0;8;2008
150195 CACHOEIRA DO PIRIA;4;0;0;0;0;4;2008
150200 CACHOEIRA DO ARARI;5;0;0;0;0;5;2008
150210 CAMETA;22;0;0;0;0;22;2008
150215 CANAA DOS CARAJAS;22;0;0;0;0;22;2008
150220 CAPANEMA;32;0;0;0;0;32;2008
150230 CAPITAO POCO;21;0;0;0;0;21;2008
150240 CASTANHAL;112;0;0;0;0;112;2008
150250 CHAVES;4;0;0;0;0;4;2008
150260 COLARES;10;0;0;0;0;10;2008
