Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;47;0;0;0;0;47;2024
110002 ARIQUEMES;234;0;0;0;0;234;2024
110003 CABIXI;16;0;0;0;0;16;2024
110004 CACOAL;512;0;0;0;0;512;2024
110005 CEREJEIRAS;33;0;0;0;0;33;2024
110006 COLORADO DO OESTE;34;0;0;0;0;34;2024
110007 CORUMBIARA;22;0;0;0;0;22;2024
110008 COSTA MARQUES;11;0;0;0;0;11;2024
110009 ESPIGAO D'OESTE;46;0;0;0;0;46;2024
110010 GUAJARA-MIRIM;58;0;0;0;0;58;2024
110011 JARU;191;0;0;0;0;191;2024
110012 JI-PARANA;634;0;0;0;0;634;2024
110013 MACHADINHO D'OESTE;38;0;0;0;0;38;2024
110014 NOVA BRASILANDIA D'OESTE;35;0;0;0;0;35;2024
110015 OURO PRETO DO OESTE;160;0;0;0;0;160;2024
110018 PIMENTA BUENO;143;0;0;0;0;143;2024
110020 PORTO VELHO;1365;0;0;0;0;1365;2024
110025 PRESIDENTE MEDICI;44;0;0;0;0;44;2024
110026 RIO CRESPO;8;0;0;0;0;8;2024
110028 ROLIM DE MOURA;189;0;0;0;0;189;2024
110029 SANTA LUZIA D'OESTE;13;0;0;0;0;13;2024
110030 VILHENA;487;0;0;0;0;487;2024
110032 SAO MIGUEL DO GUAPORE;78;0;0;0;0;78;2024
110033 NOVA MAMORE;24;0;0;0;0;24;2024
110034 ALVORADA D'OESTE;37;0;0;0;0;37;2024
110037 ALTO ALEGRE DOS PARECIS;28;0;0;0;0;28;2024
110040 ALTO PARAISO;25;0;0;0;0;25;2024
110045 BURITIS;46;0;0;0;0;46;2024
110050 NOVO HORIZONTE DO OESTE;7;0;0;0;0;7;2024
110060 CACAULANDIA;9;0;0;0;0;9;2024
110070 CAMPO NOVO DE RONDONIA;16;0;0;0;0;16;2024
110080 CANDEIAS DO JAMARI;29;0;0;0;0;29;2024
110090 CASTANHEIRAS;9;0;0;0;0;9;2024
110092 CHUPINGUAIA;23;0;0;0;0;23;2024
110094 CUJUBIM;16;0;0;0;0;16;2024
110100 GOVERNADOR JORGE TEIXEIRA;10;0;0;0;0;10;2024
110110 ITAPUA DO OESTE;13;0;0;0;0;13;2024
110120 MINISTRO ANDREAZZA;12;0;0;0;0;12;2024
110130 MIRANTE DA SERRA;17;0;0;0;0;17;2024
110140 MONTE NEGRO;31;0;0;0;0;31;2024
110143 NOVA UNIAO;11;0;0;0;0;11;2024
110145 PARECIS;10;0;0;0;0;10;2024
110146 PIMENTEIRAS DO OESTE;6;0;0;0;0;6;2024
110147 PRIMAVERA DE RONDONIA;5;0;0;0;0;5;2024
110148 SAO FELIPE D'OESTE;8;0;0;0;0;8;2024
110149 SAO FRANCISCO DO GUAPORE;34;0;0;0;0;34;2024
110150 SERINGUEIRAS;25;0;0;0;0;25;2024
110155 TEIXEIROPOLIS;7;0;0;0;0;7;2024
110160 THEOBROMA;14;0;0;0;0;14;2024
110170 URUPA;18;0;0;0;0;18;2024
110175 VALE DO ANARI;14;0;0;0;0;14;2024
110180 VALE DO PARAISO;11;0;0;0;0;11;2024
120001 ACRELANDIA;17;0;0;0;0;17;2024
120005 ASSIS BRASIL;12;0;0;0;0;12;2024
120010 BRASILEIA;26;0;0;0;0;26;2024
120013 BUJARI;10;0;0;0;0;10;2024
120017 CAPIXABA;12;0;0;0;0;12;2024
120020 CRUZEIRO DO SUL;149;0;0;0;0;149;2024
120025 EPITACIOLANDIA;17;0;0;0;0;17;2024
120030 FEIJO;19;0;0;0;0;19;2024
120032 JORDAO;11;0;0;0;0;11;2024
120033 MANCIO LIMA;25;0;0;0;0;25;2024
120034 MANOEL URBANO;11;0;0;0;0;11;2024
120035 MARECHAL THAUMATURGO;16;0;0;0;0;16;2024
120038 PLACIDO DE CASTRO;20;0;0;0;0;20;2024
120039 PORTO WALTER;14;0;0;0;0;14;2024
120040 RIO BRANCO;942;0;0;0;0;942;2024
120042 RODRIGUES ALVES;24;0;0;0;0;24;2024
120043 SANTA ROSA DO PURUS;11;0;0;0;0;11;2024
120045 SENADOR GUIOMARD;18;0;0;0;0;18;2024
120050 SENA MADUREIRA;38;0;0;0;0;38;2024
120060 TARAUACA;40;0;0;0;0;40;2024
120070 XAPURI;20;0;0;0;0;20;2024
120080 PORTO ACRE;13;0;0;0;0;13;2024
130002 ALVARAES;14;0;0;0;0;14;2024
130006 AMATURA;13;0;0;0;0;13;2024
130008 ANAMA;16;0;0;0;0;16;2024
130010 ANORI;9;0;0;0;0;9;2024
130014 APUI;20;0;0;0;0;20;2024
130020 ATALAIA DO NORTE;44;0;0;0;0;44;2024
130030 AUTAZES;26;0;0;0;0;26;2024
130040 BARCELOS;37;0;0;0;0;37;2024
130050 BARREIRINHA;26;0;0;0;0;26;2024
130060 BENJAMIN CONSTANT;24;0;0;0;0;24;2024
130063 BERURI;9;0;0;0;0;9;2024
130068 BOA VISTA DO RAMOS;12;0;0;0;0;12;2024
130070 BOCA DO ACRE;20;0;0;0;0;20;2024
130080 BORBA;17;0;0;0;0;17;2024
130083 CAAPIRANGA;9;0;0;0;0;9;2024
130090 CANUTAMA;6;0;0;0;0;6;2024
130100 CARAUARI;18;0;0;0;0;18;2024
130110 CAREIRO;25;0;0;0;0;25;2024
130115 CAREIRO DA VARZEA;22;0;0;0;0;22;2024
130120 COARI;42;0;0;0;0;42;2024
130130 CODAJAS;18;0;0;0;0;18;2024
130140 EIRUNEPE;17;0;0;0;0;17;2024
130150 ENVIRA;9;0;0;0;0;9;2024
130160 FONTE BOA;12;0;0;0;0;12;2024
130165 GUAJARA;13;0;0;0;0;13;2024
130170 HUMAITA;66;0;0;0;0;66;2024
130180 IPIXUNA;15;0;0;0;0;15;2024
130185 IRANDUBA;36;0;0;0;0;36;2024
130190 ITACOATIARA;66;0;0;0;0;66;2024
130195 ITAMARATI;12;0;0;0;0;12;2024
130200 ITAPIRANGA;13;0;0;0;0;13;2024
130210 JAPURA;10;0;0;0;0;10;2024
