Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;15;0;0;0;0;15;2011
110002 ARIQUEMES;87;0;0;0;0;87;2011
110003 CABIXI;4;0;0;0;0;4;2011
110004 CACOAL;140;0;0;0;0;140;2011
110005 CEREJEIRAS;16;0;0;0;0;16;2011
110006 COLORADO DO OESTE;14;0;0;0;0;14;2011
110007 CORUMBIARA;5;0;0;0;0;5;2011
110008 COSTA MARQUES;9;0;0;0;0;9;2011
110009 ESPIGAO D'OESTE;25;0;0;0;0;25;2011
110010 GUAJARA-MIRIM;38;0;0;0;0;38;2011
110011 JARU;77;0;0;0;0;77;2011
110012 JI-PARANA;135;0;0;0;0;135;2011
110013 MACHADINHO D'OESTE;16;0;0;0;0;16;2011
110014 NOVA BRASILANDIA D'OESTE;13;0;0;0;0;13;2011
110015 OURO PRETO DO OESTE;38;0;0;0;0;38;2011
110018 PIMENTA BUENO;35;0;0;0;0;35;2011
110020 PORTO VELHO;430;0;0;0;0;430;2011
110025 PRESIDENTE MEDICI;23;0;0;0;0;23;2011
110026 RIO CRESPO;2;0;0;0;0;2;2011
110028 ROLIM DE MOURA;71;0;0;0;0;71;2011
110029 SANTA LUZIA D'OESTE;8;0;0;0;0;8;2011
110030 VILHENA;146;0;0;0;0;146;2011
110032 SAO MIGUEL DO GUAPORE;10;0;0;0;0;10;2011
110033 NOVA MAMORE;9;0;0;0;0;9;2011
110034 ALVORADA D'OESTE;10;0;0;0;0;10;2011
110037 ALTO ALEGRE DOS PARECIS;8;0;0;0;0;8;2011
110040 ALTO PARAISO;7;0;0;0;0;7;2011
110045 BURITIS;19;0;0;0;0;19;2011
110050 NOVO HORIZONTE DO OESTE;4;0;0;0;0;4;2011
110060 CACAULANDIA;6;0;0;0;0;6;2011
110070 CAMPO NOVO DE RONDONIA;5;0;0;0;0;5;2011
110080 CANDEIAS DO JAMARI;8;0;0;0;0;8;2011
110090 CASTANHEIRAS;2;0;0;0;0;2;2011
110092 CHUPINGUAIA;6;0;0;0;0;6;2011
110094 CUJUBIM;2;0;0;0;0;2;2011
110100 GOVERNADOR JORGE TEIXEIRA;11;0;0;0;0;11;2011
