Município;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro0Oeste;Total;Ano
110001 ALTA FLORESTA D'OESTE;15;0;0;0;0;15;2010
110002 ARIQUEMES;84;0;0;0;0;84;2010
110003 CABIXI;4;0;0;0;0;4;2010
110004 CACOAL;113;0;0;0;0;113;2010
110005 CEREJEIRAS;14;0;0;0;0;14;2010
110006 COLORADO DO OESTE;12;0;0;0;0;12;2010
110007 CORUMBIARA;5;0;0;0;0;5;2010
110008 COSTA MARQUES;9;0;0;0;0;9;2010
110009 ESPIGAO D'OESTE;23;0;0;0;0;23;2010
110010 GUAJARA-MIRIM;37;0;0;0;0;37;2010
110011 JARU;70;0;0;0;0;70;2010
110012 JI-PARANA;119;0;0;0;0;119;2010
110013 MACHADINHO D'OESTE;21;0;0;0;0;21;2010
110014 NOVA BRASILANDIA D'OESTE;12;0;0;0;0;12;2010
110015 OURO PRETO DO OESTE;34;0;0;0;0;34;2010
110018 PIMENTA BUENO;33;0;0;0;0;33;2010
110020 PORTO VELHO;395;0;0;0;0;395;2010
110025 PRESIDENTE MEDICI;20;0;0;0;0;20;2010
110026 RIO CRESPO;1;0;0;0;0;1;2010
110028 ROLIM DE MOURA;50;0;0;0;0;50;2010
110029 SANTA LUZIA D'OESTE;8;0;0;0;0;8;2010
110030 VILHENA;117;0;0;0;0;117;2010
110032 SAO MIGUEL DO GUAPORE;8;0;0;0;0;8;2010
110033 NOVA MAMORE;10;0;0;0;0;10;2010
110034 ALVORADA D'OESTE;9;0;0;0;0;9;2010
110037 ALTO ALEGRE DOS PARECIS;7;0;0;0;0;7;2010
110040 ALTO PARAISO;5;0;0;0;0;5;2010
110045 BURITIS;21;0;0;0;0;21;2010
110050 NOVO HORIZONTE DO OESTE;4;0;0;0;0;4;2010
110060 CACAULANDIA;5;0;0;0;0;5;2010
110070 CAMPO NOVO DE RONDONIA;5;0;0;0;0;5;2010
110080 CANDEIAS DO JAMARI;6;0;0;0;0;6;2010
110090 CASTANHEIRAS;2;0;0;0;0;2;2010
110092 CHUPINGUAIA;5;0;0;0;0;5;2010
110094 CUJUBIM;1;0;0;0;0;1;2010
110100 GOVERNADOR JORGE TEIXEIRA;7;0;0;0;0;7;2010
110110 ITAPUA DO OESTE;3;0;0;0;0;3;2010
110120 MINISTRO ANDREAZZA;2;0;0;0;0;2;2010
110130 MIRANTE DA SERRA;11;0;0;0;0;11;2010
110140 MONTE NEGRO;11;0;0;0;0;11;2010
110143 NOVA UNIAO;5;0;0;0;0;5;2010
110145 PARECIS;2;0;0;0;0;2;2010
110146 PIMENTEIRAS DO OESTE;1;0;0;0;0;1;2010
110147 PRIMAVERA DE RONDONIA;4;0;0;0;0;4;2010
110148 SAO FELIPE D'OESTE;2;0;0;0;0;2;2010
110149 SAO FRANCISCO DO GUAPORE;7;0;0;0;0;7;2010
110150 SERINGUEIRAS;3;0;0;0;0;3;2010
110155 TEIXEIROPOLIS;3;0;0;0;0;3;2010
110160 THEOBROMA;7;0;0;0;0;7;2010
110170 URUPA;16;0;0;0;0;16;2010
110175 VALE DO ANARI;4;0;0;0;0;4;2010
110180 VALE DO PARAISO;4;0;0;0;0;4;2010
120001 ACRELANDIA;11;0;0;0;0;11;2010
120005 ASSIS BRASIL;6;0;0;0;0;6;2010
120010 BRASILEIA;15;0;0;0;0;15;2010
120013 BUJARI;4;0;0;0;0;4;2010
120017 CAPIXABA;7;0;0;0;0;7;2010
120020 CRUZEIRO DO SUL;69;0;0;0;0;69;2010
120025 EPITACIOLANDIA;8;0;0;0;0;8;2010
120030 FEIJO;16;0;0;0;0;16;2010
120032 JORDAO;4;0;0;0;0;4;2010
120033 MANCIO LIMA;17;0;0;0;0;17;2010
120034 MANOEL URBANO;5;0;0;0;0;5;2010
120035 MARECHAL THAUMATURGO;6;0;0;0;0;6;2010
120038 PLACIDO DE CASTRO;13;0;0;0;0;13;2010
120039 PORTO WALTER;5;0;0;0;0;5;2010
120040 RIO BRANCO;361;0;0;0;0;361;2010
120042 RODRIGUES ALVES;2;0;0;0;0;2;2010
120043 SANTA ROSA DO PURUS;6;0;0;0;0;6;2010
120045 SENADOR GUIOMARD;13;0;0;0;0;13;2010
120050 SENA MADUREIRA;15;0;0;0;0;15;2010
120060 TARAUACA;14;0;0;0;0;14;2010
120070 XAPURI;9;0;0;0;0;9;2010
120080 PORTO ACRE;8;0;0;0;0;8;2010
130002 ALVARAES;3;0;0;0;0;3;2010
130006 AMATURA;2;0;0;0;0;2;2010
130008 ANAMA;2;0;0;0;0;2;2010
130010 ANORI;3;0;0;0;0;3;2010
130014 APUI;6;0;0;0;0;6;2010
130020 ATALAIA DO NORTE;2;0;0;0;0;2;2010
130030 AUTAZES;12;0;0;0;0;12;2010
130040 BARCELOS;5;0;0;0;0;5;2010
130050 BARREIRINHA;4;0;0;0;0;4;2010
130060 BENJAMIN CONSTANT;11;0;0;0;0;11;2010
130063 BERURI;2;0;0;0;0;2;2010
130068 BOA VISTA DO RAMOS;4;0;0;0;0;4;2010
130070 BOCA DO ACRE;14;0;0;0;0;14;2010
130080 BORBA;18;0;0;0;0;18;2010
130083 CAAPIRANGA;4;0;0;0;0;4;2010
130090 CANUTAMA;2;0;0;0;0;2;2010
130100 CARAUARI;6;0;0;0;0;6;2010
130110 CAREIRO;7;0;0;0;0;7;2010
130115 CAREIRO DA VARZEA;11;0;0;0;0;11;2010
130120 COARI;17;0;0;0;0;17;2010
130130 CODAJAS;8;0;0;0;0;8;2010
130140 EIRUNEPE;5;0;0;0;0;5;2010
130150 ENVIRA;4;0;0;0;0;4;2010
130160 FONTE BOA;5;0;0;0;0;5;2010
130165 GUAJARA;2;0;0;0;0;2;2010
130170 HUMAITA;15;0;0;0;0;15;2010
130180 IPIXUNA;7;0;0;0;0;7;2010
130185 IRANDUBA;12;0;0;0;0;12;2010
130190 ITACOATIARA;23;0;0;0;0;23;2010
130195 ITAMARATI;2;0;0;0;0;2;2010
130200 ITAPIRANGA;5;0;0;0;0;5;2010
130210 JAPURA;4;0;0;0;0;4;2010
130220 JURUA;2;0;0;0;0;2;2010
130230 JUTAI;3;0;0;0;0;3;2010
130240 LABREA;7;0;0;0;0;7;2010
130250 MANACAPURU;24;0;0;0;0;24;2010
130255 MANAQUIRI;4;0;0;0;0;4;2010
130260 MANAUS;1051;0;0;0;0;1051;2010
130270 MANICORE;5;0;0;0;0;5;2010
130280 MARAA;6;0;0;0;0;6;2010
130290 MAUES;15;0;0;0;0;15;2010
130300 NHAMUNDA;14;0;0;0;0;14;2010
130310 NOVA OLINDA DO NORTE;13;0;0;0;0;13;2010
130320 NOVO AIRAO;9;0;0;0;0;9;2010
130330 NOVO ARIPUANA;4;0;0;0;0;4;2010
130340 PARINTINS;35;0;0;0;0;35;2010
130350 PAUINI;8;0;0;0;0;8;2010
130353 PRESIDENTE FIGUEIREDO;24;0;0;0;0;24;2010
130356 RIO PRETO DA EVA;15;0;0;0;0;15;2010
130360 SANTA ISABEL DO RIO NEGRO;7;0;0;0;0;7;2010
130370 SANTO ANTONIO DO ICA;2;0;0;0;0;2;2010
130380 SAO GABRIEL DA CACHOEIRA;22;0;0;0;0;22;2010
130390 SAO PAULO DE OLIVENCA;5;0;0;0;0;5;2010
130395 SAO SEBASTIAO DO UATUMA;5;0;0;0;0;5;2010
130400 SILVES;7;0;0;0;0;7;2010
130406 TABATINGA;13;0;0;0;0;13;2010
130410 TAPAUA;7;0;0;0;0;7;2010
130420 TEFE;37;0;0;0;0;37;2010
130423 TONANTINS;3;0;0;0;0;3;2010
130426 UARINI;3;0;0;0;0;3;2010
130430 URUCARA;7;0;0;0;0;7;2010
130440 URUCURITUBA;6;0;0;0;0;6;2010
140002 AMAJARI;18;0;0;0;0;18;2010
140005 ALTO ALEGRE;17;0;0;0;0;17;2010
140010 BOA VISTA;189;0;0;0;0;189;2010
140015 BONFIM;14;0;0;0;0;14;2010
140017 CANTA;22;0;0;0;0;22;2010
140020 CARACARAI;24;0;0;0;0;24;2010
140023 CAROEBE;6;0;0;0;0;6;2010
140028 IRACEMA;3;0;0;0;0;3;2010
140030 MUCAJAI;8;0;0;0;0;8;2010
140040 NORMANDIA;17;0;0;0;0;17;2010
140045 PACARAIMA;11;0;0;0;0;11;2010
140047 RORAINOPOLIS;7;0;0;0;0;7;2010
140050 SAO JOAO DA BALIZA;4;0;0;0;0;4;2010
140060 SAO LUIZ;6;0;0;0;0;6;2010
140070 UIRAMUTA;10;0;0;0;0;10;2010
150010 ABAETETUBA;79;0;0;0;0;79;2010
150013 ABEL FIGUEIREDO;6;0;0;0;0;6;2010
150020 ACARA;21;0;0;0;0;21;2010
150030 AFUA;13;0;0;0;0;13;2010
150034 AGUA AZUL DO NORTE;17;0;0;0;0;17;2010
150040 ALENQUER;14;0;0;0;0;14;2010
150050 ALMEIRIM;17;0;0;0;0;17;2010
150060 ALTAMIRA;62;0;0;0;0;62;2010
150070 ANAJAS;6;0;0;0;0;6;2010
150080 ANANINDEUA;115;0;0;0;0;115;2010
150085 ANAPU;9;0;0;0;0;9;2010
150090 AUGUSTO CORREA;22;0;0;0;0;22;2010
150095 AURORA DO PARA;8;0;0;0;0;8;2010
150100 AVEIRO;9;0;0;0;0;9;2010
150110 BAGRE;4;0;0;0;0;4;2010
150120 BAIAO;18;0;0;0;0;18;2010
150125 BANNACH;7;0;0;0;0;7;2010
150130 BARCARENA;57;0;0;0;0;57;2010
150140 BELEM;1446;0;0;0;0;1446;2010
150145 BELTERRA;12;0;0;0;0;12;2010
150150 BENEVIDES;22;0;0;0;0;22;2010
150157 BOM JESUS DO TOCANTINS;10;0;0;0;0;10;2010
150160 BONITO;9;0;0;0;0;9;2010
150170 BRAGANCA;36;0;0;0;0;36;2010
150172 BRASIL NOVO;11;0;0;0;0;11;2010
150175 BREJO GRANDE DO ARAGUAIA;10;0;0;0;0;10;2010
150178 BREU BRANCO;21;0;0;0;0;21;2010
150180 BREVES;38;0;0;0;0;38;2010
150190 BUJARU;12;0;0;0;0;12;2010
150195 CACHOEIRA DO PIRIA;6;0;0;0;0;6;2010
150200 CACHOEIRA DO ARARI;13;0;0;0;0;13;2010
150210 CAMETA;35;0;0;0;0;35;2010
150215 CANAA DOS CARAJAS;32;0;0;0;0;32;2010
150220 CAPANEMA;38;0;0;0;0;38;2010
150230 CAPITAO POCO;23;0;0;0;0;23;2010
150240 CASTANHAL;123;0;0;0;0;123;2010
150250 CHAVES;4;0;0;0;0;4;2010
150260 COLARES;11;0;0;0;0;11;2010
150270 CONCEICAO DO ARAGUAIA;47;0;0;0;0;47;2010
150275 CONCORDIA DO PARA;8;0;0;0;0;8;2010
150276 CUMARU DO NORTE;10;0;0;0;0;10;2010
150277 CURIONOPOLIS;11;0;0;0;0;11;2010
150280 CURRALINHO;10;0;0;0;0;10;2010
150285 CURUA;7;0;0;0;0;7;2010
150290 CURUCA;14;0;0;0;0;14;2010
150293 DOM ELISEU;14;0;0;0;0;14;2010
150295 ELDORADO DOS CARAJAS;15;0;0;0;0;15;2010
150300 FARO;5;0;0;0;0;5;2010
150304 FLORESTA DO ARAGUAIA;9;0;0;0;0;9;2010
150307 GARRAFAO DO NORTE;9;0;0;0;0;9;2010
150309 GOIANESIA DO PARA;21;0;0;0;0;21;2010
150310 GURUPA;25;0;0;0;0;25;2010
150320 IGARAPE-ACU;21;0;0;0;0;21;2010
150330 IGARAPE-MIRI;24;0;0;0;0;24;2010
150340 INHANGAPI;12;0;0;0;0;12;2010
150345 IPIXUNA DO PARA;11;0;0;0;0;11;2010
150350 IRITUIA;16;0;0;0;0;16;2010
150360 ITAITUBA;32;0;0;0;0;32;2010
150370 ITUPIRANGA;18;0;0;0;0;18;2010
150375 JACAREACANGA;4;0;0;0;0;4;2010
150380 JACUNDA;19;0;0;0;0;19;2010
150390 JURUTI;15;0;0;0;0;15;2010
150400 LIMOEIRO DO AJURU;13;0;0;0;0;13;2010
150405 MAE DO RIO;17;0;0;0;0;17;2010
150410 MAGALHAES BARATA;10;0;0;0;0;10;2010
150420 MARABA;139;0;0;0;0;139;2010
150430 MARACANA;23;0;0;0;0;23;2010
150440 MARAPANIM;17;0;0;0;0;17;2010
150442 MARITUBA;31;0;0;0;0;31;2010
150445 MEDICILANDIA;11;0;0;0;0;11;2010
150450 MELGACO;11;0;0;0;0;11;2010
150460 MOCAJUBA;17;0;0;0;0;17;2010
150470 MOJU;23;0;0;0;0;23;2010
150480 MONTE ALEGRE;54;0;0;0;0;54;2010
150490 MUANA;13;0;0;0;0;13;2010
150495 NOVA ESPERANCA DO PIRIA;11;0;0;0;0;11;2010
150497 NOVA IPIXUNA;7;0;0;0;0;7;2010
150500 NOVA TIMBOTEUA;7;0;0;0;0;7;2010
150503 NOVO PROGRESSO;19;0;0;0;0;19;2010
150506 NOVO REPARTIMENTO;20;0;0;0;0;20;2010
150510 OBIDOS;22;0;0;0;0;22;2010
150520 OEIRAS DO PARA;15;0;0;0;0;15;2010
150530 ORIXIMINA;30;0;0;0;0;30;2010
150540 OUREM;9;0;0;0;0;9;2010
150543 OURILANDIA DO NORTE;20;0;0;0;0;20;2010
150548 PACAJA;9;0;0;0;0;9;2010
150549 PALESTINA DO PARA;7;0;0;0;0;7;2010
150550 PARAGOMINAS;50;0;0;0;0;50;2010
150553 PARAUAPEBAS;107;0;0;0;0;107;2010
150555 PAU D'ARCO;9;0;0;0;0;9;2010
150560 PEIXE-BOI;6;0;0;0;0;6;2010
150563 PICARRA;11;0;0;0;0;11;2010
150565 PLACAS;6;0;0;0;0;6;2010
150570 PONTA DE PEDRAS;4;0;0;0;0;4;2010
150580 PORTEL;17;0;0;0;0;17;2010
150590 PORTO DE MOZ;15;0;0;0;0;15;2010
150600 PRAINHA;13;0;0;0;0;13;2010
150610 PRIMAVERA;10;0;0;0;0;10;2010
150611 QUATIPURU;7;0;0;0;0;7;2010
150613 REDENCAO;59;0;0;0;0;59;2010
150616 RIO MARIA;14;0;0;0;0;14;2010
150618 RONDON DO PARA;22;0;0;0;0;22;2010
150619 RUROPOLIS;7;0;0;0;0;7;2010
150620 SALINOPOLIS;21;0;0;0;0;21;2010
150630 SALVATERRA;15;0;0;0;0;15;2010
150635 SANTA BARBARA DO PARA;5;0;0;0;0;5;2010
150640 SANTA CRUZ DO ARARI;3;0;0;0;0;3;2010
150650 SANTA IZABEL DO PARA;32;0;0;0;0;32;2010
150655 SANTA LUZIA DO PARA;12;0;0;0;0;12;2010
150658 SANTA MARIA DAS BARREIRAS;12;0;0;0;0;12;2010
150660 SANTA MARIA DO PARA;13;0;0;0;0;13;2010
150670 SANTANA DO ARAGUAIA;25;0;0;0;0;25;2010
150680 SANTAREM;190;0;0;0;0;190;2010
150690 SANTAREM NOVO;5;0;0;0;0;5;2010
150700 SANTO ANTONIO DO TAUA;14;0;0;0;0;14;2010
150710 SAO CAETANO DE ODIVELAS;8;0;0;0;0;8;2010
150715 SAO DOMINGOS DO ARAGUAIA;14;0;0;0;0;14;2010
150720 SAO DOMINGOS DO CAPIM;13;0;0;0;0;13;2010
150730 SAO FELIX DO XINGU;35;0;0;0;0;35;2010
150740 SAO FRANCISCO DO PARA;15;0;0;0;0;15;2010
150745 SAO GERALDO DO ARAGUAIA;16;0;0;0;0;16;2010
150746 SAO JOAO DA PONTA;5;0;0;0;0;5;2010
150747 SAO JOAO DE PIRABAS;10;0;0;0;0;10;2010
150750 SAO JOAO DO ARAGUAIA;12;0;0;0;0;12;2010
150760 SAO MIGUEL DO GUAMA;36;0;0;0;0;36;2010
150770 SAO SEBASTIAO DA BOA VISTA;11;0;0;0;0;11;2010
150775 SAPUCAIA;5;0;0;0;0;5;2010
150780 SENADOR JOSE PORFIRIO;9;0;0;0;0;9;2010
150790 SOURE;10;0;0;0;0;10;2010
150795 TAILANDIA;9;0;0;0;0;9;2010
150796 TERRA ALTA;7;0;0;0;0;7;2010
150797 TERRA SANTA;14;0;0;0;0;14;2010
150800 TOME-ACU;16;0;0;0;0;16;2010
150803 TRACUATEUA;18;0;0;0;0;18;2010
150805 TRAIRAO;9;0;0;0;0;9;2010
150808 TUCUMA;36;0;0;0;0;36;2010
150810 TUCURUI;57;0;0;0;0;57;2010
150812 ULIANOPOLIS;12;0;0;0;0;12;2010
150815 URUARA;15;0;0;0;0;15;2010
150820 VIGIA;21;0;0;0;0;21;2010
150830 VISEU;18;0;0;0;0;18;2010
150835 VITORIA DO XINGU;8;0;0;0;0;8;2010
150840 XINGUARA;26;0;0;0;0;26;2010
160005 SERRA DO NAVIO;5;0;0;0;0;5;2010
160010 AMAPA;11;0;0;0;0;11;2010
160015 PEDRA BRANCA DO AMAPARI;12;0;0;0;0;12;2010
160020 CALCOENE;7;0;0;0;0;7;2010
160021 CUTIAS;4;0;0;0;0;4;2010
160023 FERREIRA GOMES;4;0;0;0;0;4;2010
160025 ITAUBAL;12;0;0;0;0;12;2010
160027 LARANJAL DO JARI;13;0;0;0;0;13;2010
160030 MACAPA;196;0;0;0;0;196;2010
160040 MAZAGAO;36;0;0;0;0;36;2010
160050 OIAPOQUE;28;0;0;0;0;28;2010
160053 PORTO GRANDE;6;0;0;0;0;6;2010
160055 PRACUUBA;4;0;0;0;0;4;2010
160060 SANTANA;35;0;0;0;0;35;2010
160070 TARTARUGALZINHO;16;0;0;0;0;16;2010
160080 VITORIA DO JARI;9;0;0;0;0;9;2010
170025 ABREULANDIA;2;0;0;0;0;2;2010
170030 AGUIARNOPOLIS;5;0;0;0;0;5;2010
170035 ALIANCA DO TOCANTINS;5;0;0;0;0;5;2010
170040 ALMAS;3;0;0;0;0;3;2010
170070 ALVORADA;5;0;0;0;0;5;2010
170100 ANANAS;5;0;0;0;0;5;2010
170105 ANGICO;2;0;0;0;0;2;2010
170110 APARECIDA DO RIO NEGRO;2;0;0;0;0;2;2010
170130 ARAGOMINAS;1;0;0;0;0;1;2010
170190 ARAGUACEMA;3;0;0;0;0;3;2010
170200 ARAGUACU;8;0;0;0;0;8;2010
170210 ARAGUAINA;127;0;0;0;0;127;2010
170215 ARAGUANA;4;0;0;0;0;4;2010
170220 ARAGUATINS;10;0;0;0;0;10;2010
170230 ARAPOEMA;3;0;0;0;0;3;2010
170240 ARRAIAS;5;0;0;0;0;5;2010
170255 AUGUSTINOPOLIS;9;0;0;0;0;9;2010
170270 AURORA DO TOCANTINS;2;0;0;0;0;2;2010
170290 AXIXA DO TOCANTINS;2;0;0;0;0;2;2010
170300 BABACULANDIA;5;0;0;0;0;5;2010
170305 BANDEIRANTES DO TOCANTINS;1;0;0;0;0;1;2010
170307 BARRA DO OURO;2;0;0;0;0;2;2010
170310 BARROLANDIA;4;0;0;0;0;4;2010
170320 BERNARDO SAYAO;2;0;0;0;0;2;2010
170330 BOM JESUS DO TOCANTINS;1;0;0;0;0;1;2010
170360 BRASILANDIA DO TOCANTINS;2;0;0;0;0;2;2010
170370 BREJINHO DE NAZARE;5;0;0;0;0;5;2010
170380 BURITI DO TOCANTINS;4;0;0;0;0;4;2010
170382 CACHOEIRINHA;2;0;0;0;0;2;2010
170384 CAMPOS LINDOS;1;0;0;0;0;1;2010
170386 CARIRI DO TOCANTINS;2;0;0;0;0;2;2010
170388 CARMOLANDIA;2;0;0;0;0;2;2010
170389 CARRASCO BONITO;3;0;0;0;0;3;2010
170390 CASEARA;2;0;0;0;0;2;2010
170410 CENTENARIO;1;0;0;0;0;1;2010
170460 CHAPADA DE AREIA;2;0;0;0;0;2;2010
170510 CHAPADA DA NATIVIDADE;1;0;0;0;0;1;2010
170550 COLINAS DO TOCANTINS;23;0;0;0;0;23;2010
170555 COMBINADO;4;0;0;0;0;4;2010
170560 CONCEICAO DO TOCANTINS;2;0;0;0;0;2;2010
170600 COUTO MAGALHAES;2;0;0;0;0;2;2010
170610 CRISTALANDIA;3;0;0;0;0;3;2010
170625 CRIXAS DO TOCANTINS;1;0;0;0;0;1;2010
170650 DARCINOPOLIS;2;0;0;0;0;2;2010
170700 DIANOPOLIS;13;0;0;0;0;13;2010
170710 DIVINOPOLIS DO TOCANTINS;4;0;0;0;0;4;2010
170720 DOIS IRMAOS DO TOCANTINS;3;0;0;0;0;3;2010
170730 DUERE;2;0;0;0;0;2;2010
170740 ESPERANTINA;2;0;0;0;0;2;2010
170755 FATIMA;3;0;0;0;0;3;2010
170765 FIGUEIROPOLIS;2;0;0;0;0;2;2010
170770 FILADELFIA;2;0;0;0;0;2;2010
170820 FORMOSO DO ARAGUAIA;10;0;0;0;0;10;2010
170825 FORTALEZA DO TABOCAO;2;0;0;0;0;2;2010
170830 GOIANORTE;2;0;0;0;0;2;2010
170900 GOIATINS;3;0;0;0;0;3;2010
170930 GUARAI;17;0;0;0;0;17;2010
170950 GURUPI;108;0;0;0;0;108;2010
